vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,price_time,risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_price_time,smooth_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_price_time,aadc_risk_time
0.1, 1012.42, 3.12572, -634.906, -19.0989, 23.4666, 141.012, 1012.42, 3.1242, -633.423, -19.1032, 28.9714, 173.522, 1012.42, 3.0732, -633.523, -19.112, 11.9945, 11.9945
0.11, 1012.35, -17.7631, -634.128, -17.6329, 23.6513, 142.108, 1012.34, -18.4973, -632.854, -17.5999, 29.0232, 174.14, 1012.34, -18.3447, -632.958, -17.6114, 11.7309, 11.7309
0.12, 1012.01, -47.5591, -632.082, -15.324, 23.6883, 142.195, 1012.01, -47.7232, -630.729, -15.12, 29.0197, 174.128, 1012.01, -47.7476, -630.836, -15.1332, 12.2761, 12.2761
0.13, 1011.37, -81.2501, -628.353, -12.0001, 23.7479, 142.354, 1011.37, -81.8649, -626.987, -11.8013, 29.2694, 175.163, 1011.37, -81.8438, -627.097, -11.8156, 12.1363, 12.1363
0.14, 1010.37, -118.535, -623.202, -7.94721, 23.7821, 142.22, 1010.37, -118.715, -621.429, -7.68557, 28.9994, 174.084, 1010.37, -118.529, -621.55, -7.7019, 12.3606, 12.3606
0.15, 1009, -154.271, -615.715, -3.04964, 23.6719, 142.042, 1009.01, -154.369, -613.68, -2.70179, 28.9398, 173.662, 1009.01, -154.139, -613.8, -2.71819, 12.2976, 12.2976
0.16, 1007.29, -188.549, -607.376, 1.82301, 23.6328, 141.91, 1007.29, -189.505, -605.068, 2.26879, 28.9317, 173.557, 1007.29, -189.276, -605.202, 2.25051, 12.1197, 12.1197
0.17, 1005.24, -220.339, -597.027, 7.56873, 23.6539, 142.161, 1005.24, -219.821, -595.185, 7.44028, 28.942, 173.563, 1005.24, -220.167, -595.289, 7.42624, 12.273, 12.273
0.18, 1002.87, -252.917, -585.85, 12.6525, 23.7027, 141.91, 1002.88, -251.623, -584.406, 12.5681, 28.8967, 173.22, 1002.88, -251.605, -584.477, 12.5568, 12.1969, 12.1969
0.19, 1000.21, -281.546, -574.392, 17.3775, 23.6812, 142.032, 1000.22, -279.646, -572.877, 17.5889, 28.8743, 173.296, 1000.22, -279.851, -572.973, 17.576, 12.2898, 12.2898
0.2, 997.305, -299.329, -562.578, 22.0838, 23.6488, 141.923, 997.319, -301.037, -560.495, 22.4903, 28.8836, 173.839, 997.319, -300.841, -560.624, 22.4758, 12.2936, 12.2936
0.21, 994.172, -323.643, -549.504, 26.7841, 23.8317, 141.791, 994.191, -323.458, -547.604, 27.1745, 28.8694, 173.011, 994.191, -323.456, -547.718, 27.1605, 12.245, 12.245
0.22, 990.831, -345.909, -536.485, 31.0438, 23.6612, 141.855, 990.848, -344.669, -534.566, 31.5595, 28.8569, 172.891, 990.848, -344.632, -534.701, 31.5449, 12.3094, 12.3094
0.23, 987.315, -357.944, -522.761, 35.0458, 23.648, 141.917, 987.335, -358.182, -520.949, 35.8057, 28.8108, 172.878, 987.335, -358.11, -521.069, 35.7913, 12.1895, 12.1895
0.24, 983.66, -374.616, -509.278, 38.9947, 23.6289, 141.875, 983.679, -373.872, -507.706, 39.6147, 28.8211, 172.899, 983.679, -374.02, -507.824, 39.6005, 12.2222, 12.2222
0.25, 979.864, -384.647, -495.704, 42.6085, 23.7052, 142.039, 979.885, -384.366, -494.248, 43.1926, 29.0182, 174.481, 979.885, -384.144, -494.368, 43.1781, 11.9625, 11.9625
0.26, 975.948, -399.743, -482.002, 45.8082, 23.7834, 142.512, 975.967, -398.188, -480.716, 46.5279, 29.1107, 173.22, 975.967, -398.45, -480.8, 46.5137, 11.9746, 11.9746
0.27, 971.921, -408.566, -468.703, 48.7078, 23.7204, 142.359, 971.943, -407.96, -467.526, 49.5362, 28.983, 173.247, 971.943, -408.067, -467.658, 49.5221, 12.2253, 12.2253
0.28, 967.795, -413.635, -455.611, 51.5248, 23.6873, 142.144, 967.819, -415.184, -454.19, 52.3447, 28.8596, 173.006, 967.819, -415.207, -454.345, 52.3305, 12.2336, 12.2336
0.29, 963.599, -421.965, -443.042, 54.252, 23.7002, 142.188, 963.624, -422.758, -441.189, 54.9025, 28.8731, 172.862, 963.624, -422.744, -441.344, 54.8887, 12.2315, 12.2315
0.3, 959.338, -429.377, -430.554, 56.6115, 23.7212, 142.215, 959.363, -429.87, -428.586, 57.2563, 28.8175, 172.956, 959.363, -429.777, -428.729, 57.2426, 12.3555, 12.3555
0.31, 955.01, -437.184, -417.708, 58.7384, 23.6536, 142.341, 955.034, -436.167, -416.068, 59.3946, 28.8082, 172.837, 955.034, -436.283, -416.194, 59.3808, 12.1383, 12.1383
0.32, 950.632, -439.833, -405.463, 60.6888, 23.6939, 142.172, 950.657, -439.515, -403.841, 61.3307, 28.8338, 172.897, 950.657, -439.574, -403.97, 61.3169, 12.1341, 12.1341
0.33, 946.219, -442.293, -393.258, 62.3243, 23.6559, 142.423, 946.244, -443.236, -391.946, 63.0695, 28.832, 172.814, 946.244, -443.27, -392.064, 63.0557, 12.2513, 12.2513
0.34, 941.758, -447.488, -381.656, 64.0351, 23.6721, 142.349, 941.786, -447.005, -380.578, 64.6064, 28.8695, 173.098, 941.786, -447.002, -380.671, 64.5929, 12.2411, 12.2411
0.35, 937.275, -450.136, -370.237, 65.5088, 23.7084, 142.408, 937.305, -449.166, -369.444, 65.9875, 28.8013, 173.202, 937.305, -449.215, -369.518, 65.9742, 12.2363, 12.2363
0.36, 932.769, -451.82, -360.198, 66.8032, 23.7121, 143.642, 932.799, -451.539, -359.018, 67.2182, 28.8534, 173.469, 932.799, -451.527, -359.116, 67.2052, 12.2193, 12.2193
0.37, 928.26, -451.979, -350.152, 67.8181, 23.7816, 142.692, 928.284, -451.582, -348.921, 68.3288, 28.9566, 173.132, 928.284, -451.588, -349.018, 68.3159, 12.2366, 12.2366
0.38, 923.726, -455.672, -340.617, 68.7334, 23.7331, 142.46, 923.752, -454.341, -339.224, 69.3104, 28.8794, 173.223, 923.752, -454.401, -339.332, 69.2974, 12.1093, 12.1093
0.39, 919.185, -452.427, -330.884, 69.6125, 23.6885, 142.572, 919.215, -453.667, -329.581, 70.2183, 28.8736, 173.455, 919.215, -453.64, -329.687, 70.2052, 12.2431, 12.2431
0.4, 914.637, -454.815, -321.969, 70.3111, 23.819, 143.049, 914.661, -455.304, -320.77, 71.003, 29.1047, 173.382, 914.661, -455.252, -320.906, 70.9899, 12.2384, 12.2384
0.41, 910.071, -454.953, -313.03, 71.1005, 23.7985, 143.201, 910.098, -457.077, -311.939, 71.7304, 29.043, 173.269, 910.098, -457.018, -312.066, 71.7178, 12.0667, 12.0667
