vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,Smooth price,Smooth dPricedVol1,Smooth dPricedVol2,Smooth dPricedCorr,AADC price,AADC dPricedVol1,AADC dPricedVol2,AADC dPricedCorr
0.1, 1011.96, 24.4157, -527.893, 22.016, 1012.12, 11.1708, -588.054, 6.85099, 1012.14, 9.16366, -606.627, 0.592631
0.11, 1012.1, -0.749833, -527.907, 22.2304, 1012.15, -13.3223, -587.517, 7.98261, 1012.15, -16.6608, -606.386, 1.66155
0.12, 1011.67, -67.1372, -529.613, 22.4753, 1011.82, -42.8269, -587.209, 8.67687, 1011.82, -42.6044, -605.756, 2.7641
0.13, 1011.13, -78.3954, -529.051, 23.0431, 1011.3, -65.3043, -586.541, 9.53655, 1011.28, -69.1041, -604.589, 4.0776
0.14, 1010.18, -124.066, -527.197, 24.845, 1010.29, -136.824, -584.705, 11.0652, 1010.29, -129.868, -601.894, 6.2177
0.15, 1008.86, -185.514, -526.486, 25.2815, 1008.87, -165.289, -582.678, 12.5811, 1008.88, -160.85, -599.212, 8.15915
0.16, 1006.91, -238.107, -524.641, 26.6004, 1007.05, -211.706, -568.974, 20.0668, 1007.07, -204.606, -586.51, 15.1269
0.17, 1004.44, -251.002, -522.614, 27.8216, 1004.68, -265.78, -559.596, 24.7763, 1004.74, -261.667, -576.034, 20.4063
0.18, 1001.54, -185.139, -517.992, 30.6649, 1001.87, -259.64, -554.786, 27.2203, 1002, -266.977, -569.657, 23.5849
0.19, 998.841, -320.76, -513.892, 31.8581, 999.099, -301.784, -544.72, 31.4462, 999.227, -295.986, -558.387, 28.342
0.2, 995.878, -243.775, -507.643, 32.1324, 996.094, -290.295, -535.848, 34.9413, 996.242, -294.191, -548.479, 32.2898
0.21, 992.813, -339.54, -500.692, 33.7193, 993.029, -341.604, -524.377, 38.9299, 993.152, -338.13, -534.932, 37.0611
0.22, 989.048, -328.355, -491.72, 34.9827, 989.389, -344.525, -507.816, 44.0039, 989.589, -351.714, -517.403, 42.5854
0.23, 985.283, -381.68, -469.941, 34.9488, 985.736, -387.988, -493.869, 48.0586, 985.946, -377.92, -504.538, 46.4654
0.24, 981.647, -343.026, -445.067, 36.1869, 982.02, -371.285, -484.043, 50.808, 982.239, -368.601, -494.395, 49.3614
0.25, 978.043, -328.922, -437.893, 38.9052, 978.378, -352.716, -470.956, 54.0411, 978.588, -361.27, -479.687, 53.0164
0.26, 974.357, -450.718, -427.979, 41.4875, 974.646, -404.376, -459.8, 56.6456, 974.83, -395.841, -467.576, 55.854
0.27, 970.18, -508.513, -421.363, 42.8369, 970.554, -430.028, -449.008, 59.0198, 970.765, -419.628, -455.535, 58.5115
0.28, 965.905, -406.018, -410.288, 46.5127, 966.358, -406.683, -437.025, 61.367, 966.601, -409.5, -443.133, 61.042
0.29, 962.044, -444.255, -402.511, 47.1556, 962.306, -416.452, -430.73, 63.0356, 962.502, -417.415, -435.439, 62.7964
0.3, 957.503, -524.147, -396.549, 48.0939, 957.994, -436.549, -416.489, 65.3167, 958.229, -430.198, -421.773, 65.0723
0.31, 953.555, -414.762, -387.521, 48.7687, 953.83, -430.609, -408.317, 66.8809, 953.976, -434.354, -412.85, 66.7307
0.32, 948.985, -465.69, -383.065, 66.1432, 949.262, -472.889, -401.419, 69.3076, 949.449, -465.527, -404.683, 68.6892
0.33, 944.256, -368.441, -377.547, 68.6315, 944.599, -439.314, -392.2, 71.0823, 944.846, -446.074, -394.44, 70.4696
0.34, 939.925, -427.948, -370.539, 69.6523, 940.262, -440.365, -381.626, 72.4389, 940.437, -444.375, -383.647, 71.9492
0.35, 935.201, -511.246, -343.108, 70.7496, 935.69, -470.19, -371.681, 73.7697, 935.881, -463.993, -373.941, 73.2731
0.36, 930.643, -402.293, -368.694, 88.2451, 931.061, -449.348, -361.737, 75.9238, 931.277, -452.516, -363.031, 74.8587
0.37, 926.564, -431.16, -362.544, 89.6269, 926.674, -437.237, -352.33, 77.0694, 926.815, -445.777, -352.51, 76.0327
0.38, 921.958, -501.363, -354.596, 90.8397, 922.122, -471.967, -345.393, 77.8849, 922.257, -466.327, -344.448, 76.8659
0.39, 917.062, -385.868, -345.265, 93.3122, 917.375, -462.109, -334.937, 78.7021, 917.565, -465.991, -334.323, 77.6443
0.4, 912.409, -532.277, -337.898, 94.4425, 912.714, -476.305, -327.425, 79.4464, 912.886, -473.225, -325.984, 78.3637
0.41, 907.704, -456.158, -350.765, 95.5395, 907.95, -470.474, -322.472, 80.2095, 908.149, -471.611, -319.875, 79.0057
0.42, 902.703, -587.828, -329.637, 96.6181, 903.173, -486.982, -310.338, 80.5503, 903.405, -477.149, -310.194, 79.4137
0.43, 898.12, -463.085, -325.593, 97.603, 898.482, -460.306, -303.86, 80.9081, 898.704, -464.961, -302.82, 79.7702
0.44, 893.338, -414.326, -302.708, 98.5548, 893.821, -465.449, -293.764, 81.1052, 894.039, -467.215, -294.459, 80.0572
0.45, 888.669, -469.352, -300.348, 99.5527, 889.147, -468.085, -288.552, 81.618, 889.367, -465.66, -289.018, 80.5441
0.46, 884.181, -463.894, -297.233, 100.441, 884.55, -448.833, -282.982, 81.9472, 884.775, -452.58, -282.485, 80.8341
0.47, 879.681, -515.195, -277.245, 101.311, 880.029, -464.477, -268.941, 81.5955, 880.234, -459.204, -271.428, 80.719
0.48, 874.986, -478.632, -256.88, 100.828, 875.417, -457.111, -263.561, 81.9577, 875.641, -458.43, -264.911, 80.9264
0.49, 870.32, -444.507, -237.912, 101.61, 870.775, -472.763, -253.567, 81.7773, 871.013, -466.51, -256.935, 80.951
