corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,0.462406,5.34058,991.298,-451.394,-599.125,14.4039,0.0585532,3.35182,-0.000505024,-0.075103,0.56523,5.83225,991.596,-412.962,-582.978,16.7327,0.0584739,3.36697,-0.000310355,-0.178942,1.10386,1.10386,991.596,-412.756,-583.098,16.7242,0.0584564,3.36761,-0.000301683,-0.159977
0.312,1.11488,7.01869,991.131,-406.006,-572.483,16.8449,0.0519994,3.267,-0.000563196,-0.245603,0.508507,8.1458,991.44,-402.933,-579.077,14.016,0.0560315,3.28888,-0.000343517,-0.154681,1.62878,1.62878,991.44,-403.089,-579.001,14.012,0.0559602,3.27854,-0.000314221,-0.16735
0.324,0.499954,6.56814,991.206,-416.82,-581.767,6.92711,0.0590238,3.38253,-0.000439575,-0.189204,1.57777,9.28585,991.423,-413.133,-579.84,16.0489,0.0598006,3.35902,-0.000361953,-0.170343,1.78394,1.78394,991.423,-413.183,-579.824,16.0521,0.0595031,3.35928,-0.000307465,-0.171615
0.336,0.506505,6.14959,992.248,-420.786,-589.511,29.9476,0.0567594,3.39698,0.000486282,-0.198869,0.865656,6.62512,992.714,-407.366,-584.858,16.3004,0.0605814,3.36063,-0.000242358,-0.177174,2.71571,2.71571,992.714,-407.269,-584.926,16.2944,0.0604024,3.36388,-0.00029803,-0.163713
0.348,0.910956,8.73617,992.828,-396.864,-650.997,14.4268,0.0555149,3.41828,-0.000723727,-0.160475,0.564654,5.99965,993.095,-405.7,-583.069,17.3318,0.0573961,3.34299,-0.000310758,-0.159211,0.81629,0.81629,993.095,-405.794,-583.031,17.3357,0.0571641,3.3421,-0.00029369,-0.167577
0.36,0.594742,5.22651,992.003,-434.759,-587.737,25.7145,0.0489085,3.41353,-0.000343684,-0.147511,0.667435,5.25504,992.366,-392.294,-579.557,15.2917,0.0551143,3.29679,-0.000275792,-0.147972,0.873265,0.873265,992.366,-392.307,-579.55,15.2913,0.0547176,3.29727,-0.0002667,-0.161664
0.372,0.986355,5.43362,992.304,-388.161,-613.703,35.5364,0.0516581,3.32678,-0.000388767,-0.271152,0.564533,5.68909,992.52,-390.895,-579.162,15.7892,0.0542943,3.27789,-0.000314161,-0.188607,0.860217,0.860217,992.52,-391.05,-579.075,15.7993,0.0541055,3.27955,-0.000283436,-0.170949
0.384,0.555097,4.2274,994.108,-398.57,-551.787,0.376452,0.0599608,3.2537,-0.000981184,-0.377154,0.51891,5.11781,994.275,-385.835,-566.777,15.2246,0.0557862,3.25736,-0.000319231,-0.154041,0.853247,0.853247,994.275,-385.672,-566.872,15.213,0.0560039,3.25771,-0.000298361,-0.173974
0.396,0.435083,4.4079,993.344,-389.568,-594.09,13.4622,0.0534593,3.23404,-0.000411286,-0.0430187,0.558769,4.78049,993.733,-382.73,-571.006,15.4527,0.0556621,3.25664,-0.00028467,-0.138177,0.824733,0.824733,993.733,-382.715,-571.002,15.4604,0.0555679,3.25428,-0.000288541,-0.159842
0.408,0.452191,4.87861,993.518,-345.74,-569.643,18.6106,0.0546725,3.20937,0.000102651,0.0162754,0.531552,5.24603,993.95,-380.937,-571.796,20.0174,0.0537005,3.2804,-0.000252018,-0.166717,0.83649,0.83649,993.95,-380.906,-571.831,20.0005,0.0537609,3.27386,-0.000284261,-0.162324
