corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,5.96823,49.023,991.672,-416.722,-585.907,15.3683,0.0572552,3.32571,-0.00039259,-0.187074,2.8072,41.4635,991.672,-416.722,-585.907,15.3683,0.0572552,3.32571,-0.00039259,-0.187074,7.18566,7.18566,991.672,-117.73,-244.307,2.72702,0.0201789,1.06091,-8.51725e-05,-0.0526939
0.312,2.20895,41.568,991.762,-406.167,-581.666,21.9247,0.0553092,3.32532,-0.000422945,-0.0583849,3.11898,40.7156,991.762,-406.167,-581.666,21.9247,0.0553092,3.32532,-0.000422945,-0.0583849,3.92906,3.92906,991.762,-115.738,-244.834,2.62105,0.0198162,1.06295,-8.36925e-05,-0.0523868
0.324,2.6734,29.6275,992.355,-427.675,-587.163,16.903,0.0609817,3.36338,-0.000201028,-0.138845,3.8852,38.3569,992.355,-427.675,-587.163,16.903,0.0609817,3.36338,-0.000201028,-0.138845,6.84875,6.84875,992.355,-115.484,-243.094,2.83137,0.0198037,1.05681,-8.48243e-05,-0.0530876
0.336,2.38346,25.0496,992.247,-410.755,-582.92,24.4672,0.0553894,3.37125,-0.000275944,-0.250375,2.25488,25.1441,992.247,-410.755,-582.92,24.4672,0.0553894,3.37125,-0.000275944,-0.250375,4.15452,4.15452,992.247,-115.026,-242.471,3.03302,0.0197056,1.05221,-8.44113e-05,-0.0532497
0.348,2.70019,22.8905,992.255,-404.1,-610.26,23.1832,0.0560679,3.38603,-0.000479634,-0.202813,2.08464,23.6289,992.255,-404.1,-610.26,23.1832,0.0560679,3.38603,-0.000479634,-0.202813,3.84369,3.84369,992.255,-113.362,-242.946,2.95005,0.0194024,1.05502,-8.36047e-05,-0.0531328
0.36,2.16212,21.4892,992.277,-408.98,-572.863,10.3923,0.0543285,3.29361,-0.000236329,-0.23205,2.12751,21.4249,992.277,-408.98,-572.863,10.3923,0.0543285,3.29361,-0.000236329,-0.23205,3.73329,3.73329,992.277,-112.285,-242.804,2.83068,0.0192665,1.05386,-8.24795e-05,-0.0528075
0.372,2.15095,20.8146,992.626,-402.557,-586.677,11.8621,0.0525959,3.23876,-0.000444899,-0.132146,2.05503,21.0919,992.626,-402.557,-586.677,11.8621,0.0525959,3.23876,-0.000444899,-0.132146,3.7603,3.7603,992.626,-110.898,-241.702,3.16072,0.0190109,1.0478,-8.20302e-05,-0.0527928
0.384,2.19505,21.5367,992.885,-390.347,-577.249,8.11043,0.0545072,3.31231,-0.000221104,-0.125159,2.13374,21.3548,992.885,-390.347,-577.249,8.11043,0.0545072,3.31231,-0.000221104,-0.125159,3.71118,3.71118,992.885,-108.18,-241.86,2.9606,0.0185471,1.04735,-8.12435e-05,-0.0531423
0.396,2.14665,21.3174,992.844,-396.039,-573.873,19.911,0.0526525,3.26337,-0.000415969,-0.152043,2.10139,20.8367,992.844,-396.039,-573.873,19.911,0.0526525,3.26337,-0.000415969,-0.152043,3.7576,3.7576,992.844,-109.573,-240.833,3.42874,0.0187915,1.04407,-8.23357e-05,-0.0525168
0.408,2.16076,21.6031,993.273,-378.136,-570.161,19.038,0.0514037,3.29738,-2.22905e-05,-0.109728,2.10782,21.1456,993.273,-378.136,-570.161,19.038,0.0514037,3.29738,-2.22905e-05,-0.109728,3.71406,3.71406,993.273,-106.917,-240.722,3.29552,0.0183507,1.04417,-8.09072e-05,-0.0530967
