corr,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,0.10999,0.823062,989.695,-319.483,-551.467,-1.16973,0.0629533,3.24298,8.79194e-05,-0.48628,0.065076,0.907483,989.594,-384.207,-599.491,21.9754,0.0621845,3.34655,-4.78632e-05,-0.233519,0.166178,0.166178,989.594,-380.603,-599.535,22.1462,0.0659515,3.71192,-0.000392771,-0.0878679
0.312,0.090383,0.839029,989.865,-317.147,-647.769,-25.2227,0.0603691,3.22403,-4.07471e-06,-0.655256,0.113722,0.969532,989.802,-380.636,-589.699,8.91569,0.0602699,3.31074,-4.99227e-05,-0.451174,0.18205,0.18205,989.802,-378.009,-592.75,8.63179,0.0654561,3.25547,-0.000389923,-0.049931
0.324,0.07394,0.850776,989.806,-315.944,-528.899,-36.3762,0.0597225,3.34881,6.96896e-05,-0.0096501,0.097245,0.97163,989.845,-373.822,-529.567,1.2023,0.0590857,3.27581,-4.10678e-05,-0.219029,0.17887,0.17887,989.845,-376.201,-523.479,2.20986,0.0653458,2.61054,-0.000381734,-0.0611849
0.336,0.074142,0.854026,989.976,-298.604,-443.901,-13.7259,0.0587048,3.15284,0.000163142,-0.111836,0.09709,0.970441,989.917,-367.157,-541.783,1.14612,0.058515,3.11109,6.15662e-06,-0.0188999,0.178898,0.178898,989.917,-363.139,-536.73,1.03369,0.062755,2.69204,-0.00037496,-0.0634424
0.348,0.074096,0.857466,989.975,-294.503,-566.654,21.939,0.0581887,3.06138,0.00015869,-0.225013,0.097197,0.969107,989.957,-363.985,-566.146,3.63407,0.0583464,3.11201,1.92032e-05,0.0221286,0.17867,0.17867,989.957,-359.451,-567.237,3.67552,0.0632879,3.14693,-0.000378949,-0.123523
0.36,0.074245,0.854036,990.039,-309.539,-628.089,27.1565,0.0587889,3.23778,9.88895e-05,0.274317,0.097362,0.971621,990.037,-357.272,-592.575,14.8254,0.0580381,3.21113,4.45764e-05,0.160981,0.178554,0.178554,990.037,-353.921,-596.087,14.8226,0.0634162,3.57974,-0.000384357,-0.0963807
0.372,0.082671,0.856736,990.294,-290.996,-616.923,56.0968,0.0579256,3.26822,0.000285459,-0.105964,0.113065,0.967059,990.332,-347.646,-577.427,31.3564,0.0568412,3.24179,7.48165e-05,-0.182705,0.162456,0.162456,990.332,-344.008,-579.317,31.3759,0.0616365,3.68758,-0.000378471,-0.080948
0.384,0.08981,0.864793,990.75,-290.411,-492.168,-15.2676,0.0571464,3.2405,0.000188803,-0.479013,0.096931,0.970658,990.631,-340.171,-552.357,15.5413,0.0559441,3.25164,9.05534e-05,-0.322891,0.178464,0.178464,990.631,-337.604,-549.055,15.4199,0.0603933,2.78145,-0.000376853,-0.151074
0.396,0.074196,0.848298,990.734,-287.041,-481.717,-14.2653,0.055539,3.22574,0.00032546,0.0353687,0.097063,1.12502,990.733,-337.611,-518.754,7.55171,0.0550767,3.21462,0.000156912,-0.0510937,0.240363,0.240363,990.733,-334.891,-517.041,7.2637,0.0600953,2.58024,-0.000376517,-0.138268
0.408,0.11467,0.836404,990.913,-285.547,-496.829,16.0573,0.054679,3.18604,0.000232462,0.248132,0.096743,0.982124,990.927,-334.578,-508.227,19.4746,0.0544639,3.1683,0.000119744,0.125401,0.162527,0.162527,990.927,-331.909,-504.863,19.2423,0.0597085,2.62288,-0.000378283,-0.150245
0.42,0.073651,0.83319,991.203,-281.044,-563.125,31.0147,0.0541929,3.15789,0.000245305,0.127769,0.096402,0.986156,991.162,-330.816,-544.222,5.79311,0.0536242,3.17429,0.000101403,0.0683972,0.178508,0.178508,991.162,-328.039,-546.552,5.74781,0.0589236,2.85277,-0.000374519,-0.154339
0.432,0.089602,0.859698,991.394,-277.262,-550.596,-3.94822,0.0531723,3.19264,0.000158544,-0.0942095,0.097719,0.866318,991.324,-326.999,-573.952,17.0273,0.0527093,3.16358,5.62875e-05,0.0540215,0.114384,0.114384,991.324,-324.68,-574.305,16.7336,0.0578482,3.16,-0.000368502,-0.134672
0.444,0.073505,0.70918,991.556,-274.968,-530.465,21.7598,0.0529128,3.25823,0.000176791,-0.0560004,0.06976,0.898933,991.462,-323.119,-572.83,8.8935,0.052157,3.17695,8.92702e-05,0.0485261,0.159802,0.159802,991.462,-320.639,-570.608,8.80633,0.0550163,3.08155,-0.00034656,-0.087928
0.456,0.075838,0.627299,991.646,-272.923,-682.531,44.2158,0.052209,3.21562,0.000182333,0.168213,0.087591,0.872135,991.602,-321.193,-598.036,10.557,0.0516819,3.17409,0.000126154,0.119195,0.144182,0.144182,991.602,-318.52,-605.806,10.7123,0.0541537,3.57688,-0.000333998,-0.0785073
0.468,0.088579,0.690516,991.625,-271.009,-511.66,-29.7266,0.0522999,3.26627,0.000216021,0.381751,0.063778,0.812955,991.71,-318.409,-574.78,11.6673,0.0515915,3.24604,0.00015696,0.279209,0.136951,0.136951,991.71,-316.086,-571.5,11.3937,0.0537761,3.13836,-0.000330548,-0.0910522
0.48,0.069285,0.7472,992.073,-270.201,-663.004,18.4174,0.0532032,3.19858,0.000300213,0.210704,0.096062,0.786963,992.041,-317.489,-599.822,32.4675,0.0517454,3.20869,0.000200949,0.111822,0.136943,0.136943,992.041,-315.06,-604.498,32.7269,0.0537651,3.23122,-0.000327059,-0.0865496
0.492,0.073727,0.656271,992.262,-268.687,-537.979,8.25134,0.0530481,3.11382,0.000312927,0.370447,0.080197,0.802885,992.269,-315.595,-557.531,18.3828,0.0515331,3.19814,0.000225343,0.353782,0.160739,0.160739,992.269,-313.109,-556.523,18.5015,0.0533482,3.01623,-0.000330885,-0.111902
0.504,0.073225,0.698392,992.652,-266.282,-598.215,22.1618,0.0518335,3.34475,0.000387981,0.512443,0.095903,0.735344,992.683,-312.584,-573.207,36.7687,0.0502688,3.30932,0.000212288,0.360072,0.11659,0.11659,992.683,-310.178,-574.789,36.8418,0.0514528,3.24038,-0.000337655,-0.0852515
0.516,0.057254,0.698341,993.181,-263.447,-617.414,41.3541,0.0501079,3.4046,0.000389659,0.192291,0.084429,0.737134,993.151,-308.262,-589.703,38.6047,0.0487411,3.34239,0.00020652,0.160851,0.131227,0.131227,993.151,-305.909,-589.938,39.0897,0.0484233,3.08526,-0.000343247,-0.108234
0.528,0.041744,0.711073,993.265,-261.025,-537.912,43.4273,0.0492953,3.27346,0.00028131,0.811687,0.065965,0.714123,993.362,-304.993,-575.284,15.6693,0.0479635,3.30318,0.000171318,0.574121,0.175547,0.175547,993.362,-303.072,-576.043,15.3764,0.0475584,3.26118,-0.000352069,-0.132374
0.54,0.085789,0.685144,993.615,-256.231,-716.621,40.3191,0.0497126,3.40281,0.000331452,0.578496,0.096929,0.983455,993.754,-301.047,-631.828,42.6163,0.0477073,3.3945,0.000167371,0.398572,0.162563,0.162563,993.754,-298.991,-634.955,43.2498,0.0466244,3.79627,-0.000358397,-0.123186
0.552,0.07391,0.869583,994.198,-255.001,-642.239,6.07307,0.0488456,3.51691,0.000261954,0.308993,0.096639,0.92805,994.192,-298.815,-616.022,29.3037,0.0472763,3.46609,0.00015227,0.301806,0.158651,0.158651,994.192,-297.015,-619.853,28.8896,0.046257,3.44433,-0.000351652,-0.125333
0.564,0.08957,0.85022,994.561,-253.498,-541.455,-32.9142,0.04715,3.4012,0.000131178,0.480792,0.096758,0.988696,994.632,-296.072,-602.314,33.1254,0.0458382,3.41699,8.07952e-05,0.34586,0.163243,0.163243,994.632,-294.235,-599,32.7376,0.04597,3.23198,-0.000359265,-0.151128
0.576,0.08989,0.872937,995.104,-249.77,-608.224,41.1332,0.0459602,3.31602,0.000224823,0.415985,0.113581,0.976218,995.1,-291.398,-584.058,40.6371,0.0448114,3.31725,0.000124839,0.244747,0.172572,0.172572,995.1,-289.345,-584.294,40.4899,0.0452426,3.21504,-0.000358124,-0.128496
0.588,0.090842,0.851964,995.473,-245.335,-561.289,69.0464,0.0458619,3.2059,0.00024334,0.470466,0.074758,0.540432,995.499,-287.611,-529.591,43.3287,0.0443281,3.19371,0.000138122,0.296518,0.103099,0.103099,995.499,-285.481,-530.272,43.3846,0.0446541,3.29627,-0.0003506,-0.0935362
0.6,0.050875,0.472621,995.878,-243.775,-507.643,32.1324,0.045479,3.16349,0.00024001,0.192539,0.050342,0.503511,995.961,-285.139,-511.125,37.8801,0.0439748,3.1394,0.000133273,-0.100616,0.09359,0.09359,995.961,-283.278,-510.123,38.4637,0.0445011,2.96217,-0.000356046,-0.165241
0.612,0.079954,0.459962,996.375,-240.606,-636.871,27.5422,0.0451997,2.97058,0.000244389,-0.42195,0.060212,0.747411,996.394,-281.427,-582.422,38.474,0.0430668,2.98906,0.000189904,-0.408153,0.163193,0.163193,996.394,-279.184,-582.597,38.7851,0.0439071,3.58872,-0.000342648,-0.16244
0.624,0.043325,0.672444,996.891,-235.014,-584.857,47.1796,0.0437971,3.00813,0.000333551,-0.620505,0.103447,0.550046,996.776,-278.376,-581.019,33.235,0.0421083,3.03847,0.000216708,-0.587749,0.092975,0.092975,996.776,-276.247,-577.487,33.3407,0.0434043,3.13691,-0.000340038,-0.103669
0.636,0.046914,0.453932,996.852,-231.97,-540.197,80.7239,0.0431652,3.04529,0.000264699,0.106173,0.062502,0.798133,996.898,-274.397,-550.804,28.4127,0.0411834,3.04704,0.000169357,-0.0396769,0.09225,0.09225,996.898,-272.179,-548.602,29.4184,0.0425998,2.94952,-0.000313993,-0.158886
0.648,0.046245,0.452742,997.048,-213.412,-511.208,23.2953,0.0407581,2.96286,0.000343093,0.566425,0.053143,0.529196,997.206,-255.189,-553.89,19.8771,0.0389999,3.01732,0.000124364,0.142024,0.089874,0.089874,997.206,-253.225,-551.422,19.4975,0.0384219,2.81993,-0.000305638,-0.142794
0.66,0.04488,0.453446,997.503,-210.883,-548.031,16.962,0.0385293,2.97415,0.000474939,0.388768,0.053697,0.533053,997.592,-240.327,-552.702,36.4194,0.0370271,2.96252,0.000253209,0.0685158,0.09171,0.09171,997.592,-238.096,-551.956,35.487,0.035591,3.12782,-0.000303306,-0.113482
0.672,0.045587,0.444076,997.949,-192.919,-563.974,31.613,0.0375106,2.7882,0.000413278,-0.111661,0.050179,0.503148,997.931,-228.471,-541.161,26.1058,0.0360279,2.84203,0.000273866,-0.217254,0.085547,0.085547,997.931,-224.116,-543.93,27.4688,0.0326744,3.14696,-0.000283837,-0.109634
0.684,0.042706,0.427137,998,-190.108,-502.665,-10.385,0.0363148,2.78729,0.000321069,0.0432866,0.049884,0.499188,998.041,-225.24,-502.191,0.283257,0.0351839,2.85219,0.000218247,-0.0197382,0.085634,0.085634,998.041,-220.904,-505.623,0.185285,0.0321652,2.70592,-0.000284658,-0.106404
0.696,0.04273,0.428796,998.296,-185.635,-610.786,-8.34807,0.0366366,2.78131,0.000257591,0.275626,0.049992,0.499815,998.283,-220.314,-566.205,30.586,0.0342473,2.9387,0.000172922,0.250452,0.085562,0.085562,998.283,-215.725,-570.773,30.7018,0.0313254,3.01742,-0.00029845,-0.141712
0.708,0.042711,0.426738,998.447,-182.119,-566.043,64.3156,0.0354974,2.93372,0.000188701,0.765656,0.049771,0.498043,998.598,-216.988,-555.304,35.3086,0.0334821,2.97497,0.000136938,0.288463,0.09239,0.09239,998.598,-212.71,-556.513,35.5929,0.0310112,3.21268,-0.000290732,-0.18769
0.72,0.04449,0.440295,998.942,-180,-493.398,15.094,0.0349607,3.13273,-2.04683e-05,-0.0106652,0.051804,0.51272,998.952,-213.132,-554.329,30.3141,0.0323387,3.12975,8.12989e-05,-0.147979,0.08708,0.08708,998.952,-209.92,-549.224,29.1168,0.030484,3.35829,-0.000287903,-0.163881
0.732,0.043281,0.432074,999.508,-174.636,-624.105,48.0268,0.0339851,3.25061,-0.000128511,-0.882447,0.05046,0.504691,999.31,-202.326,-632.968,19.4977,0.0306418,3.24412,6.05007e-05,-0.471317,0.086815,0.086815,999.31,-197.803,-636.124,19.2408,0.026227,4.10352,-0.000288711,-0.147516
0.744,0.043103,0.43133,999.676,-170.525,-691.323,-0.0628625,0.0327455,3.50129,-4.05253e-05,-0.289222,0.05024,0.503903,999.535,-196.909,-645.186,18.6146,0.029325,3.43114,0.000122804,-0.251528,0.086752,0.086752,999.535,-193.418,-646.329,18.2509,0.0251728,3.68068,-0.000273936,-0.106333
0.756,0.043065,0.432092,999.863,-164.39,-503.469,9.99958,0.0313303,3.39638,6.23706e-05,-0.630823,0.050487,0.504738,999.785,-190.713,-566.559,14.0468,0.0280905,3.39091,0.000122523,-0.349779,0.086635,0.086635,999.785,-187.37,-562.378,13.0801,0.0240274,3.29122,-0.000253748,-0.094631
0.768,0.043236,0.431889,1000.03,-161.67,-569.201,-8.09731,0.0294171,3.38975,0.000104683,-0.211277,0.050385,0.505199,999.937,-187.059,-579.74,3.87505,0.0266938,3.36787,0.000138981,-0.132924,0.08691,0.08691,999.937,-183.856,-580.059,3.9153,0.0233049,2.94525,-0.000246902,-0.112875
0.78,0.043221,0.429482,999.789,-160.189,-672.68,-22.7304,0.029206,3.19119,0.000174318,0.547681,0.050123,0.499952,999.949,-183.391,-628.379,3.07741,0.0258824,3.21648,0.000174049,0.179341,0.085763,0.085763,999.949,-179.836,-634.37,3.27088,0.022485,3.56691,-0.000244792,-0.105377
0.792,0.04291,0.427712,1000.05,-151.159,-577.396,60.0356,0.0268887,3.28146,0.000145587,0.323808,0.049963,0.500304,1000.12,-173.741,-615.699,30.9735,0.0237193,3.31384,0.000199555,0.0722868,0.085768,0.085768,1000.12,-171.069,-616.499,32.056,0.0206159,3.48772,-0.000252737,-0.156314
0.804,0.042882,0.430264,1000.29,-145.557,-570.887,-5.78844,0.02597,3.45306,0.000309756,0.324278,0.050382,0.500542,1000.36,-168.478,-585.184,12.3388,0.0230224,3.43557,0.000267114,0.0166509,0.085855,0.085855,1000.36,-165.44,-581.838,12.2739,0.0212631,3.28168,-0.000261401,-0.143876
0.816,0.042773,0.427757,1000.53,-141.755,-609.797,17.7149,0.0254992,3.46721,0.000313459,0.342068,0.050094,0.502696,1000.56,-164.747,-589.766,11.3199,0.0222003,3.42563,0.000236207,0.300916,0.086099,0.086099,1000.56,-161.798,-588.218,11.9425,0.0199206,3.58233,-0.000225872,-0.144758
0.828,0.042828,0.428929,1000.98,-135.858,-534.143,10.5536,0.0225506,3.68873,8.54614e-05,0.355201,0.050209,0.500947,1000.94,-154.205,-562.213,49.5313,0.0199853,3.5732,0.000133174,0.402361,0.085926,0.085926,1000.94,-151.542,-559.161,48.7312,0.0159739,3.84339,-0.000211194,-0.129799
0.84,0.042834,0.438164,1001.48,-133.011,-610.899,76.1903,0.0207047,3.70258,8.65539e-05,0.187662,0.05167,0.516728,1001.55,-149.661,-574.845,51.3983,0.0178512,3.58949,0.000132429,-0.0250644,0.087502,0.087502,1001.55,-147.231,-575.482,51.1528,0.0157629,3.71286,-0.000210533,-0.157585
0.852,0.04363,0.434857,1002.23,-128.782,-534.174,36.9441,0.0199869,3.26951,9.78401e-05,-0.560462,0.050762,0.507452,1002.17,-142.584,-533.795,28.6267,0.0167975,3.25049,0.000151883,-0.48879,0.086989,0.086989,1002.17,-140.631,-530.32,29.2604,0.0156876,3.23243,-0.000197233,-0.1539
0.864,0.043216,0.436281,1002.43,-142.841,-521.307,62.8732,0.0190924,3.12584,0.000272219,-0.643245,0.050624,0.507607,1002.47,-138.643,-525.574,29.0911,0.016257,3.1585,0.000206228,-0.486771,0.087159,0.087159,1002.47,-137.395,-522.937,29.6932,0.0185463,3.15629,-0.000183889,-0.181777
0.876,0.043378,0.434638,1002.77,-121.106,-585.801,27.6823,0.0150906,3.3232,0.000333079,-0.149337,0.051157,0.508326,1002.72,-115.469,-586.278,19.5723,0.0118237,3.26565,0.000291465,-0.133619,0.087023,0.087023,1002.72,-115.626,-588.803,18.692,0.0146579,3.53009,-0.000189141,-0.202471
0.888,0.043518,0.437186,1002.69,-131.094,-499.602,32.5844,0.0154901,3.50611,0.000478492,0.82747,0.051292,0.510081,1002.83,-109.549,-559.571,33.0997,0.0112328,3.48879,0.000355547,0.384691,0.087677,0.087677,1002.83,-109.747,-551.947,31.5831,0.0159484,3.28418,-0.000190806,-0.187519
