corr,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,0.396466,2.66506,991.298,-451.394,-599.125,14.4039,0.0585532,3.35182,-0.000505024,-0.075103,0.237745,2.38,991.298,-451.394,-599.125,14.4039,0.0585532,3.35182,-0.000505024,-0.075103,0.423852,0.423852,1204,0,0,0,0,0,0,0
0.312,0.240593,2.41269,991.608,-446.629,-581.34,26.2035,0.0574287,3.35364,-0.000489403,-0.410131,0.240595,2.41696,991.608,-446.629,-581.34,26.2035,0.0574287,3.35364,-0.000489403,-0.410131,0.431442,0.431442,1204,0,0,0,0,0,0,0
0.324,0.245198,2.40284,991.747,-442.758,-545.781,5.73666,0.0564433,3.37602,-0.000477188,-0.162651,0.241011,2.40052,991.747,-442.758,-545.781,5.73666,0.0564433,3.37602,-0.000477188,-0.162651,0.42958,0.42958,1204,0,0,0,0,0,0,0
0.336,0.24099,2.41541,991.923,-435.687,-574.876,21.634,0.0556956,3.38194,-0.000441382,-0.095309,0.237728,2.39263,991.923,-435.687,-574.876,21.634,0.0556956,3.38194,-0.000441382,-0.095309,0.418452,0.418452,1204,0,0,0,0,0,0,0
0.348,0.237656,2.38596,992.238,-433.234,-588.861,15.2635,0.0552693,3.36098,-0.000480667,-0.338607,0.237067,2.36626,992.238,-433.234,-588.861,15.2635,0.0552693,3.36098,-0.000480667,-0.338607,0.41307,0.41307,1204,0,0,0,0,0,0,0
0.36,0.236885,2.36969,992.401,-433.043,-583.909,21.409,0.0550315,3.37991,-0.000490423,-0.155232,0.236762,2.37321,992.401,-433.043,-583.909,21.409,0.0550315,3.37991,-0.000490423,-0.155232,0.418881,0.418881,1204,0,0,0,0,0,0,0
0.372,0.235631,2.36607,992.646,-429.784,-570.557,38.2774,0.0544515,3.36313,-0.000486628,-0.25376,0.235921,2.37066,992.646,-429.784,-570.557,38.2774,0.0544515,3.36313,-0.000486628,-0.25376,0.418233,0.418233,1204,0,0,0,0,0,0,0
0.384,0.237327,2.37159,992.876,-425.931,-564.756,20.4031,0.0539781,3.35898,-0.000509529,-0.267114,0.236801,2.37093,992.876,-425.931,-564.756,20.4031,0.0539781,3.35898,-0.000509529,-0.267114,0.415131,0.415131,1204,0,0,0,0,0,0,0
0.396,0.237788,2.36937,993.047,-420.218,-554.828,22.8219,0.052579,3.32718,-0.000520282,-0.197402,0.236898,2.36585,993.047,-420.218,-554.828,22.8219,0.052579,3.32718,-0.000520282,-0.197402,0.416346,0.416346,1204,0,0,0,0,0,0,0
0.408,0.236798,2.37266,993.191,-413.15,-570.109,11.3688,0.0513081,3.29435,-0.000506291,-0.00381544,0.236281,2.36903,993.191,-413.15,-570.109,11.3688,0.0513081,3.29435,-0.000506291,-0.00381544,0.41537,0.41537,1204,0,0,0,0,0,0,0
0.42,0.237339,2.36963,993.391,-410.835,-596.185,25.1151,0.0504325,3.26659,-0.000495939,0.129915,0.236923,2.37132,993.391,-410.835,-596.185,25.1151,0.0504325,3.26659,-0.000495939,0.129915,0.418934,0.418934,1204,0,0,0,0,0,0,0
0.432,0.237251,2.36599,993.65,-404.604,-601.822,30.3742,0.0497884,3.29095,-0.000538845,0.0905175,0.235978,2.36774,993.65,-404.604,-601.822,30.3742,0.0497884,3.29095,-0.000538845,0.0905175,0.419772,0.419772,1204,0,0,0,0,0,0,0
0.444,0.235879,2.36776,993.906,-399.278,-564.994,14.175,0.0489515,3.24711,-0.000556337,-0.0933874,0.235936,2.36812,993.906,-399.278,-564.994,14.175,0.0489515,3.24711,-0.000556337,-0.0933874,0.421546,0.421546,1204,0,0,0,0,0,0,0
0.456,0.236515,2.36959,994.028,-396.896,-587.625,32.0551,0.0479487,3.24969,-0.000541842,0.206677,0.237087,2.36686,994.028,-396.896,-587.625,32.0551,0.0479487,3.24969,-0.000541842,0.206677,0.417949,0.417949,1204,0,0,0,0,0,0,0
0.468,0.236822,2.36713,994.304,-394.572,-571.422,25.8422,0.0472076,3.23009,-0.000504324,0.0508944,0.236712,2.36822,994.304,-394.572,-571.422,25.8422,0.0472076,3.23009,-0.000504324,0.0508944,0.419977,0.419977,1204,0,0,0,0,0,0,0
0.48,0.23609,2.36614,994.612,-389.225,-590.196,29.0119,0.0465195,3.25455,-0.000501847,-0.0954217,0.237637,2.36786,994.612,-389.225,-590.196,29.0119,0.0465195,3.25455,-0.000501847,-0.0954217,0.421725,0.421725,1204,0,0,0,0,0,0,0
0.492,0.237072,2.37419,994.885,-385.188,-581.772,7.33306,0.0454294,3.23901,-0.00047943,-0.191838,0.237195,2.39092,994.885,-385.188,-581.772,7.33306,0.0454294,3.23901,-0.00047943,-0.191838,0.422227,0.422227,1204,0,0,0,0,0,0,0
0.504,0.238473,2.37683,995.195,-380.277,-599.839,22.7555,0.0444076,3.25782,-0.000434972,-0.329714,0.237511,2.38249,995.195,-380.277,-599.839,22.7555,0.0444076,3.25782,-0.000434972,-0.329714,0.425646,0.425646,1204,0,0,0,0,0,0,0
0.516,0.238106,2.37299,995.459,-376.734,-573.889,15.0164,0.0439143,3.25071,-0.000418605,-0.267131,0.236816,2.36992,995.459,-376.734,-573.889,15.0164,0.0439143,3.25071,-0.000418605,-0.267131,0.421655,0.421655,1204,0,0,0,0,0,0,0
0.528,0.238524,2.3703,995.705,-374.047,-585.844,16.2119,0.043179,3.2447,-0.000447512,-0.203005,0.236747,2.36935,995.705,-374.047,-585.844,16.2119,0.043179,3.2447,-0.000447512,-0.203005,0.420741,0.420741,1204,0,0,0,0,0,0,0
0.54,0.237322,2.36813,995.974,-370.009,-571.841,21.316,0.0425038,3.31645,-0.00049498,-0.276133,0.23662,2.36641,995.974,-370.009,-571.841,21.316,0.0425038,3.31645,-0.00049498,-0.276133,0.420648,0.420648,1204,0,0,0,0,0,0,0
0.552,0.236265,2.36377,996.273,-357.73,-596.101,13.4912,0.0412243,3.28953,-0.00046766,-0.285549,0.235993,2.36643,996.273,-357.73,-596.101,13.4912,0.0412243,3.28953,-0.00046766,-0.285549,0.419186,0.419186,1204,0,0,0,0,0,0,0
0.564,0.237243,2.36698,996.536,-353.438,-605.093,12.4383,0.0400646,3.20504,-0.000531654,-0.205489,0.236744,2.3662,996.536,-353.438,-605.093,12.4383,0.0400646,3.20504,-0.000531654,-0.205489,0.419704,0.419704,1204,0,0,0,0,0,0,0
0.576,0.236828,2.3682,996.726,-350.252,-564.577,21.1651,0.0392965,3.20476,-0.000533339,-0.0763398,0.235603,2.36528,996.726,-350.252,-564.577,21.1651,0.0392965,3.20476,-0.000533339,-0.0763398,0.417944,0.417944,1204,0,0,0,0,0,0,0
0.588,0.237479,2.36343,996.956,-347.551,-562.812,23.3258,0.0386012,3.22445,-0.000456369,0.0538099,0.237286,2.3829,996.956,-347.551,-562.812,23.3258,0.0386012,3.22445,-0.000456369,0.0538099,0.418854,0.418854,1204,0,0,0,0,0,0,0
0.6,0.237273,2.37737,997.265,-342.666,-570.315,28.4087,0.0376463,3.16052,-0.000495461,-0.236127,0.236792,2.36857,997.265,-342.666,-570.315,28.4087,0.0376463,3.16052,-0.000495461,-0.236127,0.416136,0.416136,1204,0,0,0,0,0,0,0
0.612,0.236767,2.36354,997.483,-332.871,-579.718,18.2125,0.036402,3.0841,-0.000475247,-0.133326,0.236999,2.36793,997.483,-332.871,-579.718,18.2125,0.036402,3.0841,-0.000475247,-0.133326,0.415328,0.415328,1204,0,0,0,0,0,0,0
0.624,0.236368,2.36298,997.787,-326.311,-562.389,40.3917,0.034832,3.06939,-0.000471811,-0.221697,0.237309,2.37153,997.787,-326.311,-562.389,40.3917,0.034832,3.06939,-0.000471811,-0.221697,0.419515,0.419515,1204,0,0,0,0,0,0,0
0.636,0.237065,2.3727,997.978,-321.404,-564.042,29.905,0.0342675,3.10623,-0.000509482,-0.142486,0.236677,2.37174,997.978,-321.404,-564.042,29.905,0.0342675,3.10623,-0.000509482,-0.142486,0.419918,0.419918,1204,0,0,0,0,0,0,0
0.648,0.236925,2.37019,998.192,-311.283,-544.579,16.4972,0.0328404,3.12614,-0.000477419,-0.0272963,0.238043,2.37202,998.192,-311.283,-544.579,16.4972,0.0328404,3.12614,-0.000477419,-0.0272963,0.419205,0.419205,1204,0,0,0,0,0,0,0
0.66,0.237807,2.36677,998.464,-305.382,-561.554,34.6704,0.0316277,3.15661,-0.000462685,0.0727834,0.236931,2.36926,998.464,-305.382,-561.554,34.6704,0.0316277,3.15661,-0.000462685,0.0727834,0.417248,0.417248,1204,0,0,0,0,0,0,0
0.672,0.235602,2.36542,998.8,-300.464,-578.785,31.2073,0.0305375,3.23898,-0.000454977,0.0962372,0.236695,2.3633,998.8,-300.464,-578.785,31.2073,0.0305375,3.23898,-0.000454977,0.0962372,0.41829,0.41829,1204,0,0,0,0,0,0,0
0.684,0.236955,2.36589,999.081,-295.781,-560.903,2.7542,0.0292795,3.17735,-0.000417705,0.177619,0.236148,2.3666,999.081,-295.781,-560.903,2.7542,0.0292795,3.17735,-0.000417705,0.177619,0.418522,0.418522,1204,0,0,0,0,0,0,0
0.696,0.236756,2.36542,999.479,-286.617,-566.682,42.1673,0.0277067,3.1611,-0.000413075,-0.107462,0.23653,2.36426,999.479,-286.617,-566.682,42.1673,0.0277067,3.1611,-0.000413075,-0.107462,0.419534,0.419534,1204,0,0,0,0,0,0,0
0.708,0.237342,2.36775,999.747,-280.138,-544.763,24.6197,0.0264886,3.15777,-0.000412405,-0.0730672,0.235438,2.36767,999.747,-280.138,-544.763,24.6197,0.0264886,3.15777,-0.000412405,-0.0730672,0.415888,0.415888,1204,0,0,0,0,0,0,0
0.72,0.237497,2.36374,999.995,-273.346,-559.725,22.4242,0.0251889,3.17994,-0.000448823,0.059135,0.235215,2.36387,999.995,-273.346,-559.725,22.4242,0.0251889,3.17994,-0.000448823,0.059135,0.416481,0.416481,1204,0,0,0,0,0,0,0
0.732,0.236785,2.36352,1000.45,-265.883,-532.405,30.0219,0.0239165,3.25588,-0.000447946,-0.253076,0.236369,2.3698,1000.45,-265.883,-532.405,30.0219,0.0239165,3.25588,-0.000447946,-0.253076,0.419233,0.419233,1204,0,0,0,0,0,0,0
