spot1-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
1047.58,5.66812,46.411,537.894,186.495,-45.2557,18.0774,0.64846,0.17765,-5.07733e-05,-0.0296272,6.41929,62.7334,540.233,187.329,-43.9209,16.262,0.651966,0.185628,0.000490893,-0.0150575,5.82372,5.82372,540.233,187.337,-43.9019,16.2597,0.651975,0.185974,0.000475811,-0.0135022
1089.48,3.00621,26.7481,565.033,161.113,-61.2343,23.65,0.667103,0.242453,0.00142806,-0.0212233,2.79717,42.4959,567.617,168.721,-57.6387,21.4615,0.671299,0.251358,0.000497288,-0.018466,4.86503,4.86503,567.617,168.717,-57.6401,21.4608,0.671289,0.251515,0.000453907,-0.018049
1131.38,2.52951,31.0551,593.846,145.768,-70.4526,27.1634,0.688055,0.314112,-0.000309906,-0.0247248,2.53569,25.5077,596.466,139.163,-73.0457,26.6516,0.69083,0.325168,0.000350933,-0.0221316,4.19405,4.19405,596.466,139.172,-73.0461,26.642,0.690811,0.325357,0.000407335,-0.0224038
1173.28,3.34066,25.5625,623.023,106.807,-89.0456,31.1094,0.699021,0.41556,-0.00020751,-0.024113,2.93643,26.2273,625.739,91.6297,-94.2909,33.8782,0.70467,0.432564,0.000259189,-0.0296783,4.07404,4.07404,625.739,91.6222,-94.3462,33.893,0.704519,0.4328,0.000328135,-0.0293463
1215.19,2.41182,22.7915,652.907,43.3456,-112.783,39.37,0.716034,0.523192,0.000254771,-0.0557605,2.50777,25.8865,655.702,30.8401,-113.917,39.2055,0.717575,0.532889,0.000235281,-0.0365992,4.26462,4.26462,655.702,30.8328,-113.877,39.1966,0.717632,0.531918,0.000236268,-0.0353463
1257.09,2.16956,21.658,683.008,-34.721,-132.933,45.0529,0.725487,0.648591,6.39928e-05,-0.0194721,2.48848,25.0641,685.863,-45.8134,-138.301,46.0499,0.724757,0.662315,0.000177473,-0.0387535,4.1361,4.1361,685.863,-45.807,-138.352,46.0552,0.724894,0.661332,0.000125182,-0.0424634
1298.99,2.0997,21.0473,713.429,-121.348,-174.949,61.3905,0.735743,0.809986,0.000559865,-0.0469266,2.42202,24.6414,716.208,-133.695,-166.7,53.8529,0.72898,0.8149,-2.84906e-05,-0.0532367,4.1905,4.1905,716.208,-133.717,-166.71,53.8571,0.729265,0.814557,-4.70545e-05,-0.0507338
1340.9,2.16136,21.6081,744.269,-220.112,-198.096,63.802,0.730126,0.961679,-4.13751e-05,-0.0800577,2.49631,24.9857,746.792,-234.86,-195.276,59.9769,0.723987,0.972821,-0.00034086,-0.0585527,4.15873,4.15873,746.792,-234.853,-195.408,59.9994,0.724221,0.972307,-0.000280035,-0.0576505
1382.8,2.07994,21.1644,774.018,-334.006,-222.166,64.6129,0.707827,1.16504,-0.000964078,-0.0816188,2.42448,24.5536,776.264,-347.008,-228.173,66.8978,0.701987,1.15987,-0.000534664,-0.070235,4.19186,4.19186,776.264,-347,-228.19,66.8889,0.702151,1.16,-0.00053447,-0.0675813
1424.7,2.14032,21.4,803.735,-444.467,-260.685,70.1064,0.683101,1.32227,-0.000843313,-0.0925189,2.46761,23.9892,805.62,-456.643,-258.475,70.7101,0.675147,1.32992,-0.000863833,-0.0744861,4.10054,4.10054,805.62,-456.622,-258.452,70.7068,0.675402,1.32822,-0.000822502,-0.0806651
1466.61,1.97208,20.6168,832.401,-560.06,-301.056,78.3162,0.640882,1.54264,-0.00100374,-0.0845898,2.36559,23.3683,833.886,-559.491,-293.146,75.7345,0.632991,1.53205,-0.00115526,-0.0819653,4.14016,4.14016,833.886,-559.493,-293.162,75.7427,0.633133,1.53255,-0.00109189,-0.0861983
1508.51,2.04972,20.1275,857.979,-683.026,-329.175,85.2346,0.59365,1.7247,-0.00112931,-0.123297,2.35309,23.4296,859.113,-653.424,-326.515,78.8906,0.584322,1.73208,-0.00129737,-0.0919587,4.11378,4.11378,859.113,-653.427,-326.497,78.889,0.584514,1.73098,-0.00128152,-0.0947532
1550.41,2.02434,20.7023,881.14,-737.987,-359.259,81.2023,0.533373,1.91605,-0.000999073,-0.134741,2.32179,23.0092,881.943,-725.736,-361.469,80.2827,0.526,1.93845,-0.00144237,-0.110613,4.09772,4.09772,881.943,-725.731,-361.451,80.2818,0.526088,1.93668,-0.00140968,-0.105466
1592.31,2.07782,20.5249,903.175,-782.501,-396.902,87.2681,0.468568,2.12147,-0.00137897,-0.0899544,2.4181,23.6495,903.642,-775.358,-391.371,79.0911,0.46269,2.11762,-0.00153079,-0.112542,4.11204,4.11204,903.642,-775.297,-391.561,79.0896,0.462493,2.11817,-0.00146993,-0.111709
1634.22,1.97771,20.544,920.861,-814.846,-426.992,81.6454,0.404986,2.34518,-0.00138997,-0.177293,2.30981,23.3216,921.113,-799.42,-423.624,78.3206,0.401567,2.31454,-0.00146107,-0.122482,4.08182,4.08182,921.113,-799.421,-423.587,78.3213,0.401424,2.31408,-0.00144144,-0.122582
1676.12,2.06614,20.2611,936.779,-831.611,-452.781,72.1477,0.34321,2.52013,-0.00161566,-0.166047,2.34406,23.2891,936.788,-798.898,-453.645,75.878,0.339464,2.49383,-0.00143645,-0.142429,4.10782,4.10782,936.788,-798.975,-453.515,75.8788,0.339485,2.49073,-0.00137014,-0.130943
1718.02,1.99643,20.6984,950.073,-795.342,-483.896,78.0208,0.283748,2.70292,-0.00115962,-0.121924,2.32588,23.0739,950.105,-778.987,-481.617,72.5537,0.283596,2.68572,-0.0012817,-0.130535,4.03196,4.03196,950.105,-779.01,-481.584,72.5559,0.283428,2.68364,-0.00124464,-0.136919
1759.93,2.01333,20.2047,960.456,-760.998,-503.845,72.9309,0.23441,2.81145,-0.00131318,-0.188459,2.35873,23.5127,960.408,-749.087,-499.938,66.776,0.235405,2.78803,-0.00115889,-0.143069,4.11098,4.11098,960.408,-749.065,-499.965,66.7728,0.235067,2.78571,-0.00112732,-0.145301
1801.83,1.9672,20.4325,969.308,-739.129,-519.103,59.3964,0.189274,2.89848,-0.000937916,-0.201503,2.26897,23.0936,969.215,-696.251,-515.788,60.07,0.190676,2.88164,-0.000991471,-0.159367,4.0096,4.0096,969.215,-696.247,-515.797,60.069,0.190401,2.87928,-0.000967366,-0.150564
1843.73,2.04029,20.2989,976.766,-631.213,-543.199,48.6646,0.153532,3.01486,-0.00057942,-0.256204,2.359,23.2665,976.786,-641.14,-532.209,54.3719,0.154382,3.00442,-0.000774213,-0.15551,4.10354,4.10354,976.786,-641.17,-532.175,54.3711,0.154225,3.00283,-0.000818001,-0.154371
1885.64,1.98746,20.7196,982.317,-584.17,-545.767,51.3949,0.122915,3.11394,-0.00091435,-0.244876,2.32602,23.2984,982.308,-581.782,-544.542,49.0399,0.122866,3.07856,-0.000674818,-0.162813,3.98427,3.98427,982.308,-581.769,-544.564,49.0444,0.122682,3.07686,-0.000683404,-0.154645
1927.54,2.01664,20.167,986.36,-522.27,-564.966,46.7378,0.0989438,3.14632,-0.00090325,-0.201931,2.3592,23.5414,986.411,-522.371,-552.918,40.9529,0.0985963,3.12037,-0.000568431,-0.156751,4.11084,4.11084,986.411,-522.331,-552.968,40.9506,0.0983732,3.11961,-0.000564355,-0.153944
1969.44,1.98454,20.6578,990.629,-460.277,-565.425,42.1841,0.072264,3.16755,-0.000436221,-0.235382,2.28068,23.0117,990.756,-457.14,-553.825,36.2213,0.0757377,3.14628,-0.000425547,-0.163967,3.97691,3.97691,990.756,-457.152,-553.826,36.2212,0.0755615,3.14501,-0.000453777,-0.159735
2011.34,2.04724,20.5431,993.089,-422.102,-544.92,25.2152,0.0603556,3.17824,-0.000289983,-0.169355,2.35992,23.3378,993.309,-401.76,-557.961,30.8055,0.0598507,3.16643,-0.000348429,-0.149814,4.10489,4.10489,993.309,-401.752,-557.967,30.8055,0.0597443,3.16387,-0.000362991,-0.161404
2053.25,1.97975,20.7219,995.377,-365.018,-565.302,29.6909,0.0472468,3.18939,-0.000387524,-0.158764,2.32685,23.2637,995.62,-349.417,-559.058,26.7243,0.0478508,3.18443,-0.000280343,-0.166057,3.97694,3.97694,995.62,-349.446,-559.051,26.7201,0.047798,3.18376,-0.00028976,-0.163365
2095.15,2.01084,20.1849,997.483,-306.165,-558.234,28.9726,0.0345628,3.20047,-0.000403286,-0.236148,2.35683,23.6506,997.736,-297.112,-557.233,22.0198,0.0367644,3.17933,-0.000222562,-0.169566,4.10994,4.10994,997.736,-296.958,-557.317,22.0134,0.0365333,3.18023,-0.000231012,-0.165523
2137.05,2.01545,20.8017,998.289,-254.008,-554.533,14.1472,0.0263862,3.21974,-0.000249243,-0.0425655,2.36052,23.0638,998.64,-253.743,-560.423,18.6136,0.0288396,3.18636,-0.000165594,-0.168217,3.97611,3.97611,998.64,-253.79,-560.394,18.6236,0.0286886,3.18653,-0.000178726,-0.167799
2178.96,2.02222,20.4674,999.408,-221.007,-557.62,28.7437,0.0214782,3.18128,0.000112974,-0.266714,2.41429,23.7754,999.779,-212.534,-555.329,16.4607,0.0224463,3.15643,-0.000117173,-0.180804,4.10642,4.10642,999.779,-212.561,-555.32,16.4592,0.0223877,3.15325,-0.000132278,-0.166241
2220.86,1.99407,20.7239,1000.17,-201.527,-562.919,15.1918,0.0178933,3.20133,-3.18096e-05,-0.0594471,2.42982,23.2464,1000.62,-180.082,-554.141,12.2673,0.0182116,3.16496,-8.73496e-05,-0.162875,3.98211,3.98211,1000.62,-180.143,-554.106,12.2777,0.01825,3.16416,-0.000101416,-0.174547
2262.76,2.0705,20.1854,1001.22,-157.54,-555.238,6.14915,0.0137483,3.22193,-0.000128933,-0.0860339,2.35373,23.6388,1001.64,-150.431,-554.607,10.4934,0.0141428,3.16767,-8.83337e-05,-0.168039,4.12114,4.12114,1001.64,-150.527,-554.565,10.5022,0.0141533,3.16767,-8.21098e-05,-0.174071
2304.67,2.00969,20.8601,1001.17,-141.108,-566.128,9.34647,0.0133659,3.20186,-4.61081e-05,-0.0728928,2.48305,22.9151,1001.65,-130.893,-554.743,8.5544,0.0125952,3.1721,-4.49657e-05,-0.173272,3.99654,3.99654,1001.65,-130.886,-554.759,8.54847,0.012657,3.17213,-6.58543e-05,-0.178377
2346.57,2.03392,20.1975,1001.84,-113.409,-568.563,11.0621,0.00826698,3.15087,-8.75927e-05,-0.103751,2.36822,23.5127,1002.36,-106.151,-551.525,7.44818,0.00924932,3.13328,-4.82708e-05,-0.163637,4.1223,4.1223,1002.36,-106.145,-551.519,7.45446,0.00912512,3.13146,-5.2559e-05,-0.174414
2388.47,1.98023,20.3906,1002.36,-98.4228,-560.954,6.82669,0.00682286,3.19828,-6.95707e-05,-0.143062,2.54119,23.0145,1002.9,-86.8645,-549.605,7.82393,0.00738585,3.1541,-3.5075e-05,-0.148159,4.0232,4.0232,1002.9,-86.9488,-549.584,7.83128,0.00739001,3.1563,-3.60277e-05,-0.17808
2430.37,2.04236,20.1276,1002.37,-68.9348,-550.13,9.55634,0.00545514,3.0924,-1.10433e-05,-0.0990822,2.35025,23.4332,1002.92,-73.2531,-546.104,5.1285,0.00621563,3.09557,-3.54123e-05,-0.167015,4.12059,4.12059,1002.92,-73.3462,-546.073,5.13745,0.00619112,3.08956,-2.99647e-05,-0.176499
2472.28,1.99153,20.5226,1002.64,-56.6498,-561.672,6.54864,0.00485707,3.14414,-0.000103606,-0.276566,2.58054,23.0798,1003.12,-63.8363,-550.387,4.49022,0.00526158,3.1351,-3.14993e-05,-0.182872,3.99829,3.99829,1003.12,-63.828,-550.42,4.46843,0.00524837,3.13234,-2.6622e-05,-0.177933
2514.18,2.05589,20.3964,1002.91,-52.515,-565.176,10.497,0.00356422,3.13725,-2.89267e-05,-0.169747,1.89248,15.2849,1003.43,-51.4949,-549.122,4.46889,0.00428138,3.10775,-1.65569e-05,-0.181353,2.82271,2.82271,1003.43,-51.5004,-549.123,4.46776,0.00426305,3.10527,-1.88428e-05,-0.18315
2556.08,1.34635,13.3458,1003.14,-48.492,-538.392,5.3289,0.00379244,3.1061,-3.1524e-05,-0.203979,1.49479,15.0135,1003.64,-45.046,-546.321,2.9498,0.00380712,3.09793,-1.80281e-05,-0.192268,2.81736,2.81736,1003.64,-45.0634,-546.328,2.9438,0.0038155,3.09514,-1.64e-05,-0.177913
