spot1,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
1047.58,0.203445,2.0395,538.641,200.699,-55.7038,29.6509,0.653604,0.197827,0.00181033,0.0241642,0.203058,2.02928,538.641,200.699,-55.7038,29.6509,0.653604,0.197827,0.00181033,0.0241642,0.362379,0.362379,538.641,-175.027,-35.3888,9.61306,0.394774,0.122225,-0.000463173,-0.00946536
1089.48,0.203669,2.03639,566.271,172.461,-68.6305,32.0253,0.661365,0.249697,0.000235072,0.0210233,0.203528,2.03872,566.271,172.461,-68.6305,32.0253,0.661365,0.249697,0.000235072,0.0210233,0.363579,0.363579,566.271,-204.887,-44.7692,11.734,0.374221,0.158474,-0.000506525,-0.0122994
1131.38,0.202699,2.03381,594.577,202.163,-86.6585,37.8525,0.702766,0.331829,-0.00106851,-0.0074994,0.203187,2.02593,594.577,202.163,-86.6585,37.8525,0.702766,0.331829,-0.00106851,-0.0074994,0.363119,0.363119,594.577,-233.284,-55.6037,14.0677,0.352325,0.201958,-0.000530344,-0.0152351
1173.28,0.202847,2.0227,623.546,92.5654,-108.986,50.8516,0.680456,0.419784,0.00157963,-0.0397124,0.208124,2.04925,623.546,92.5654,-108.986,50.8516,0.680456,0.419784,0.00157963,-0.0397124,0.370474,0.370474,623.546,-259.381,-67.1809,16.2653,0.329607,0.249137,-0.000560217,-0.0181639
1215.19,0.220915,2.01412,652.985,57.9399,-130.575,60.3187,0.718518,0.507154,0.00145764,-0.0763339,0.199624,3.24155,652.985,57.9399,-130.575,60.3187,0.718518,0.507154,0.00145764,-0.0763339,0.503444,0.503444,652.985,-282.088,-81.2683,18.7127,0.305559,0.308244,-0.00056868,-0.0214622
1257.09,0.405688,4.15156,683.621,-12.1764,-159.047,63.1956,0.733399,0.633647,-0.00281033,-0.103271,0.414997,4.32667,683.621,-12.1764,-159.047,63.1956,0.733399,0.633647,-0.00281033,-0.103271,0.760107,0.760107,683.621,-301.788,-94.0117,20.5629,0.28123,0.362329,-0.000569415,-0.0238063
1298.99,0.419675,4.26186,714.101,-127.483,-182.195,71.8072,0.735223,0.780667,-0.00167624,-0.113242,0.415748,4.18974,714.101,-127.483,-182.195,71.8072,0.735223,0.780667,-0.00167624,-0.113242,0.70236,0.70236,714.101,-315.995,-108.671,22.2395,0.257157,0.424829,-0.000562362,-0.0263392
1340.9,0.414334,4.16673,744.38,-230.843,-202.259,73.2477,0.724705,0.905477,4.2602e-05,-0.0758968,0.419852,4.183,744.38,-230.843,-202.259,73.2477,0.724705,0.905477,4.2602e-05,-0.0758968,0.669873,0.669873,744.38,-325.762,-122.396,23.4176,0.234412,0.484187,-0.000549745,-0.029556
1382.8,0.433238,4.23693,774.909,-316.719,-237.975,87.9638,0.727228,1.08109,-0.00129198,-0.113603,0.416634,4.81174,774.909,-316.719,-237.975,87.9638,0.727228,1.08109,-0.00129198,-0.113603,0.903827,0.903827,774.909,-331.168,-136.038,24.3527,0.211169,0.544578,-0.000532297,-0.032746
1424.7,0.530906,4.62363,804.114,-471.747,-261.965,90.7259,0.682966,1.2743,-1.8594e-06,-0.111134,0.412614,3.96106,804.114,-471.747,-261.965,90.7259,0.682966,1.2743,-1.8594e-06,-0.111134,0.596231,0.596231,804.114,-331.685,-150.397,25.0774,0.189149,0.609734,-0.000521102,-0.0357011
1466.61,0.24254,2.14301,832.247,-528.164,-280.744,91.8343,0.655721,1.48788,0.000109094,-0.178266,0.214189,3.87615,832.247,-528.164,-280.744,91.8343,0.655721,1.48788,0.000109094,-0.178266,0.759869,0.759869,832.247,-327.812,-163.632,25.1622,0.168512,0.66956,-0.000484795,-0.0384583
1508.51,0.414846,4.42993,859.304,-706.931,-306.785,87.6191,0.594046,1.6752,-0.00264221,-0.246486,0.420293,4.108,859.304,-706.931,-306.785,87.6191,0.594046,1.6752,-0.00264221,-0.246486,0.517397,0.517397,859.304,-318.86,-176.967,24.9909,0.147545,0.731008,-0.00045181,-0.0407516
1550.41,0.351258,3.15824,882.503,-771.812,-343.448,83.1054,0.53009,1.89997,-8.84496e-05,-0.325713,0.299706,3.2329,882.503,-771.812,-343.448,83.1054,0.53009,1.89997,-8.84496e-05,-0.325713,0.444256,0.444256,882.503,-308.152,-189.052,24.4931,0.130069,0.788594,-0.00042071,-0.0425388
1592.31,0.221682,2.1709,903.81,-867.4,-368.014,76.9061,0.474728,2.10463,-0.00109481,-0.362564,0.215262,3.50023,903.81,-867.4,-368.014,76.9061,0.474728,2.10463,-0.00109481,-0.362564,0.583663,0.583663,903.81,-293.826,-199.369,23.4415,0.113502,0.836877,-0.000377728,-0.0445169
1634.22,0.372503,3.41028,922.365,-814.601,-411.438,82.4129,0.408874,2.30724,-0.000847311,-0.304933,0.398929,3.2654,922.365,-814.601,-411.438,82.4129,0.408874,2.30724,-0.000847311,-0.304933,0.38018,0.38018,922.365,-276.684,-209.013,22.0222,0.0980743,0.882539,-0.000341364,-0.0456084
1676.12,0.213632,3.18219,938.131,-786.142,-436.659,77.21,0.339503,2.46569,-0.0024549,-0.265837,0.29397,3.50816,938.131,-786.142,-436.659,77.21,0.339503,2.46569,-0.0024549,-0.265837,0.631955,0.631955,938.131,-257.981,-217.296,20.4006,0.0841954,0.922509,-0.000306748,-0.0465612
1718.02,0.308102,3.1353,950.71,-791.58,-456.516,69.5502,0.279128,2.64653,5.8227e-05,-0.290705,0.216127,2.16047,950.71,-791.58,-456.516,69.5502,0.279128,2.64653,5.8227e-05,-0.290705,0.380251,0.380251,950.71,-240.231,-223.728,18.8269,0.0728034,0.954301,-0.000273484,-0.0469412
1759.93,0.215576,2.17759,961.721,-656.416,-481.189,66.4761,0.238989,2.79571,-0.00159313,-0.14939,0.21604,2.13033,961.721,-656.416,-481.189,66.4761,0.238989,2.79571,-0.00159313,-0.14939,0.376328,0.376328,961.721,-220.109,-229.096,16.9617,0.0620874,0.980313,-0.000241296,-0.0481052
1801.83,0.212407,2.16584,970.85,-720.045,-486.123,44.8605,0.194857,2.87794,-0.00193151,-0.139173,0.216211,2.14001,970.85,-720.045,-486.123,44.8605,0.194857,2.87794,-0.00193151,-0.139173,0.374076,0.374076,970.85,-198.902,-233.242,15.0799,0.0522323,1.00106,-0.000216338,-0.049011
1843.73,0.213299,2.15481,977.889,-672.402,-496.048,39.2992,0.148143,2.95338,-0.000708007,-0.107815,0.21551,2.14155,977.889,-672.402,-496.048,39.2992,0.148143,2.95338,-0.000708007,-0.107815,0.374573,0.374573,977.889,-178.19,-237.04,13.0309,0.0437725,1.02045,-0.000187824,-0.0499887
1885.64,0.2124,2.14771,983.736,-623.264,-500.762,36.2834,0.123614,3.04593,-0.00126311,-0.150219,0.216427,2.16713,983.736,-623.264,-500.762,36.2834,0.123614,3.04593,-0.00126311,-0.150219,0.375628,0.375628,983.736,-158.415,-238.296,11.2823,0.0364012,1.02742,-0.000162135,-0.0504914
1927.54,0.213079,2.14392,987.961,-497.642,-516.522,23.1487,0.0884315,3.09204,-9.24596e-05,-0.217632,0.221344,2.15643,987.961,-497.642,-516.522,23.1487,0.0884315,3.09204,-9.24596e-05,-0.217632,0.377336,0.377336,987.961,-140.497,-239.178,9.5108,0.0303742,1.03306,-0.000137383,-0.0506431
