spot2-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
48.91,1.03303,5.20613,547.898,-14.8558,-33.3558,7.66842,0.00228838,13.0282,2.80399e-05,-0.232967,0.632652,7.66835,547.898,-14.8558,-33.3558,7.66842,0.00228838,13.0282,2.80399e-05,-0.232967,1.20855,1.20855,547.898,-3.96283,-249.385,0.454571,0.000687758,7.29756,-4.27159e-06,-0.180312
50.8664,0.586074,7.15448,572.055,-10.8152,-64.7635,4.87193,0.00252039,12.8949,-3.83568e-05,0.0782374,0.614062,4.80713,572.055,-10.8152,-64.7635,4.87193,0.00252039,12.8949,-3.83568e-05,0.0782374,0.992851,0.992851,572.055,-5.27477,-273.622,1.20301,0.000927492,6.93155,-5.86819e-06,-0.177099
52.8228,0.508882,5.66859,597.041,-25.7928,-111.714,-0.993299,0.00476484,13.2137,3.76638e-05,0.236189,0.447832,5.2584,597.041,-25.7928,-111.714,-0.993299,0.00476484,13.2137,3.76638e-05,0.236189,1.03462,1.03462,597.041,-6.8607,-293.474,0.600849,0.00118251,6.58384,-7.59938e-06,-0.184399
54.7792,0.738069,7.5547,623.269,-24.9828,-152.29,-15.4459,0.00419648,12.9537,-5.04141e-05,1.26584,0.796713,5.1738,623.269,-24.9828,-152.29,-15.4459,0.00419648,12.9537,-5.04141e-05,1.26584,1.03366,1.03366,623.269,-7.57283,-311.322,2.13915,0.00130308,6.25326,-8.88854e-06,-0.177447
56.7356,0.419776,4.33943,649.315,-37.9844,-194.084,14.7438,0.00767703,12.8304,-0.000102481,0.499922,0.428946,8.50392,649.315,-37.9844,-194.084,14.7438,0.00767703,12.8304,-0.000102481,0.499922,1.86423,1.86423,649.315,-10.2479,-327.265,2.72874,0.00178249,5.89164,-1.15613e-05,-0.174584
58.692,0.856439,6.56604,673.823,-46.6046,-281.496,7.01669,0.0081401,12.9669,-2.8635e-05,-0.216948,0.568541,6.85031,673.823,-46.6046,-281.496,7.01669,0.0081401,12.9669,-2.8635e-05,-0.216948,1.14898,1.14898,673.823,-12.385,-342.02,2.41349,0.00212339,5.55203,-1.3533e-05,-0.175694
60.6484,0.440496,4.32967,699.647,-53.8009,-295.538,10.3752,0.00859715,12.8321,-5.85398e-05,-0.213378,0.482269,4.45521,699.647,-53.8009,-295.538,10.3752,0.00859715,12.8321,-5.85398e-05,-0.213378,0.855809,0.855809,699.647,-15.2196,-353.92,3.0266,0.00262877,5.19872,-1.51979e-05,-0.171621
62.6048,0.422338,4.31011,726.055,-61.6269,-351.446,25.3411,0.0129624,12.4165,-8.73224e-05,-0.15936,0.466932,5.69786,726.055,-61.6269,-351.446,25.3411,0.0129624,12.4165,-8.73224e-05,-0.15936,1.64918,1.64918,726.055,-17.4863,-362.478,4.2839,0.00305748,4.84834,-1.83728e-05,-0.164455
64.5612,0.573266,4.96744,749.832,-55.5358,-389.158,9.93143,0.0125038,12.3657,-0.000276901,-0.103998,0.592148,4.34508,749.832,-55.5358,-389.158,9.93143,0.0125038,12.3657,-0.000276901,-0.103998,1.10452,1.10452,749.832,-20.3996,-369.61,3.206,0.00353467,4.53213,-2.21146e-05,-0.163823
66.5176,0.432143,4.4362,771.98,-75.2315,-471.2,36.3949,0.0156344,11.9198,-7.16521e-05,-0.0253002,0.524617,5.83119,771.98,-75.2315,-471.2,36.3949,0.0156344,11.9198,-7.16521e-05,-0.0253002,1.1145,1.1145,771.98,-24.1277,-375.773,4.6636,0.00419655,4.2456,-2.40139e-05,-0.156259
