spot2,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
48.91,0.523025,4.86862,547.898,-14.8558,-33.3558,7.66842,0.00228838,13.0282,2.80399e-05,-0.232967,0.552095,9.09598,571.294,-15.8313,-69.4308,4.24317,0.0142526,13.163,-1.67042e-05,0.00299428,1.16062,1.16062,571.294,-15.8117,-69.4199,4.23277,0.0142408,13.1639,-1.96307e-05,0.000450699
50.8664,0.57731,5.96751,573.239,-21.1617,-79.4723,5.66241,0.00284383,13.0233,4.50973e-08,0.104676,0.708255,5.80976,597.035,-19.5531,-106.824,4.66584,0.015059,13.1432,-2.45781e-05,-0.0210423,0.832368,0.832368,597.035,-19.5467,-106.83,4.67711,0.0150559,13.1436,-2.33696e-05,-0.0206932
52.8228,0.428479,5.83086,598.67,-26.8774,-115.828,30.2594,0.00375273,13.1518,1.04581e-05,0.231889,0.592968,5.10261,622.699,-23.9432,-147.732,5.15539,0.0159419,13.0843,-2.58933e-05,-0.0432949,0.856548,0.856548,622.699,-23.9211,-147.741,5.14923,0.0159308,13.0854,-2.86313e-05,-0.0470135
54.7792,0.432047,4.44517,624.538,-29.6738,-153.841,5.51398,0.00439889,13.1848,-1.40584e-05,-0.0551595,0.523894,5.16168,648.191,-29.6511,-192.534,6.35556,0.0170283,12.9633,-3.52743e-05,-0.0812499,0.932047,0.932047,648.191,-29.6327,-192.539,6.36448,0.0170333,12.9636,-3.45111e-05,-0.0750968
56.7356,0.482883,4.47158,650.154,-42.2662,-207.378,-6.82288,0.00636468,12.8684,1.02541e-05,-0.691157,0.529457,5.14981,673.388,-35.768,-239.75,7.67715,0.0182562,12.7868,-4.01888e-05,-0.103451,0.853598,0.853598,673.388,-35.7566,-239.756,7.68416,0.0182013,12.7891,-4.05408e-05,-0.102113
58.692,0.433596,4.59082,675.386,-48.0003,-250.559,-5.38693,0.0072266,12.9779,3.05812e-05,-0.0442164,0.558619,5.31312,698.194,-43.3652,-287.904,9.22658,0.0196117,12.5643,-4.49401e-05,-0.125396,0.867402,0.867402,698.194,-43.3799,-287.907,9.22832,0.0196061,12.5649,-4.72021e-05,-0.128657
60.6484,0.466183,4.59937,700.5,-58.5521,-284.853,40.1422,0.00938798,12.8562,1.02504e-05,-0.296713,0.538074,5.30995,722.515,-51.0756,-336.856,10.5303,0.0210295,12.2873,-5.19121e-05,-0.156977,0.853825,0.853825,722.515,-50.994,-336.858,10.513,0.0209978,12.2891,-5.38993e-05,-0.158523
62.6048,0.436454,4.3352,725.238,-76.3411,-364.139,12.1091,0.0109256,12.5276,2.99643e-05,0.0783416,0.516227,5.21097,746.233,-59.2019,-385.989,11.7021,0.0224402,11.9463,-5.97087e-05,-0.192114,0.854814,0.854814,746.233,-59.1377,-385.984,11.6849,0.0223898,11.9486,-6.27393e-05,-0.191375
64.5612,0.440724,4.36592,749.667,-86.3673,-415.62,7.04731,0.0123498,12.2472,2.98075e-06,-0.320537,0.502936,5.17071,769.219,-68.4617,-433.85,13.0351,0.0239865,11.5377,-7.023e-05,-0.22677,0.85129,0.85129,769.219,-68.381,-433.849,13.0093,0.0239289,11.5398,-7.16553e-05,-0.222502
66.5176,0.454081,4.68545,772.996,-96.4718,-482.287,16.964,0.0141745,11.7667,-4.32298e-05,0.180877,0.530611,5.50963,791.34,-79.4229,-478.704,14.9533,0.0258016,11.0661,-8.12781e-05,-0.254677,0.92092,0.92092,791.34,-79.3431,-478.711,14.9268,0.0257579,11.0676,-8.14493e-05,-0.248705
