vol1-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.1,6.00081,69.5106,1012.34,2.14738,-632.398,-17.5588,-0.083463,3.58003,0.000656409,-0.123295,7.30613,90.5318,1012.35,2.93767,-630.805,-19.1069,-0.0809062,3.57653,0.00058344,-0.151677,16.6779,16.6779,1012.35,2.96304,-630.792,-19.1082,-0.0812185,3.56546,0.000451821,-0.169353
0.104,4.97225,62.2821,1012.21,-7.97528,-629.543,-17.8206,-0.0791926,3.5528,0.000553173,-0.143135,5.60037,57.5416,1012.21,-6.36375,-631.464,-18.5839,-0.0770591,3.56687,0.000523106,-0.154046,8.23194,8.23194,1012.21,-6.3734,-631.452,-18.5811,-0.0769938,3.55704,0.000415992,-0.168937
0.108,4.36783,43.5893,1012.29,-17.5544,-649.786,-16.848,-0.0717412,3.55577,0.000502745,-0.0827353,5.08292,51.1639,1012.32,-15.2132,-631.263,-17.8929,-0.0708838,3.56803,0.000497077,-0.163803,8.35657,8.35657,1012.32,-15.2851,-631.263,-17.8816,-0.0704601,3.56461,0.000363087,-0.173095
0.112,4.37269,43.5721,1012.07,-26.2276,-630.428,-12.102,-0.0703125,3.62156,0.000445815,-0.143265,5.04989,49.7307,1012.06,-25.6401,-633.422,-16.9432,-0.0684941,3.61665,0.000411599,-0.159827,8.31949,8.31949,1012.06,-25.678,-633.393,-16.9226,-0.0683224,3.60812,0.000327838,-0.169107
0.116,4.32932,34.5142,1012.09,-36.9626,-609.83,-10.1185,-0.0657215,3.58522,0.000262253,-0.311326,4.0816,35.044,1012.04,-35.7368,-627.74,-16.6141,-0.0642656,3.57113,0.000334967,-0.205017,6.38629,6.38629,1012.04,-35.7136,-627.73,-16.6177,-0.0640075,3.56247,0.000279161,-0.173667
0.12,2.70642,27.6857,1011.62,-42.6218,-632.596,-18.9799,-0.0626827,3.60911,0.00018429,-0.200664,3.15871,31.2974,1011.59,-47.1794,-633.299,-15.9276,-0.0607145,3.59317,0.000287685,-0.179134,5.54283,5.54283,1011.59,-47.1155,-633.309,-15.9337,-0.0610461,3.59602,0.00025303,-0.165771
0.124,2.76462,27.4188,1011.42,-65.6742,-628.467,-15.2829,-0.0593422,3.5367,0.000359317,-0.118151,3.11292,31.0583,1011.42,-61.9875,-627.392,-13.8067,-0.0571306,3.54258,0.00029329,-0.169385,6.03915,6.03915,1011.42,-61.9894,-627.408,-13.8203,-0.0574032,3.53458,0.000222641,-0.172011
0.128,2.79165,27.5882,1011.67,-78.1192,-630.225,-5.32637,-0.0528822,3.5596,0.000190748,-0.232415,3.13934,31.1049,1011.63,-75.3225,-624.609,-12.5625,-0.0514111,3.56217,0.000191979,-0.183958,6.04827,6.04827,1011.63,-75.3476,-624.596,-12.5542,-0.0515469,3.56729,0.000179025,-0.167996
0.132,2.76983,27.4901,1011.15,-92.4401,-620.306,-5.63623,-0.0497514,3.56243,0.00016254,-0.116794,3.1422,30.9119,1011.14,-89.1963,-624.548,-11.6509,-0.0479655,3.55074,0.000183485,-0.146411,6.06636,6.06636,1011.14,-89.1142,-624.573,-11.666,-0.0483477,3.55776,0.000142866,-0.170708
0.136,2.72244,27.0353,1010.78,-102.203,-624.489,-6.23949,-0.0450509,3.54363,0.00029386,-0.129859,3.0902,30.6455,1010.77,-102.787,-624.621,-9.25923,-0.0432662,3.52787,0.0002057,-0.153623,6.06025,6.06025,1010.77,-102.687,-624.646,-9.26656,-0.0434166,3.53064,0.000119736,-0.170485
