vol2-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,0.780597,7.10413,1070.44,-627.743,-257.047,-8.96395,0.0630795,-0.939312,-0.00028878,-0.209213,0.460495,7.30662,1070.44,-627.743,-257.047,-8.96395,0.0630795,-0.939312,-0.00028878,-0.209213,1.11444,1.11444,1070.44,-158.305,-55.2222,2.71783,0.0273873,0.17306,-0.000109438,-0.0263989
0.156,1.069,12.0003,1068.8,-565.401,-323.57,-3.62851,0.0572137,-0.718914,-0.000643699,-0.061611,0.52516,6.36244,1068.8,-565.401,-323.57,-3.62851,0.0572137,-0.718914,-0.000643699,-0.061611,0.772183,0.772183,1068.8,-155.249,-63.8707,3.00323,0.0267802,0.205492,-0.000106987,-0.0297297
0.162,0.427145,9.22366,1065.74,-578.802,-355.276,-13.9532,0.0619959,-0.361467,-0.000522372,-0.181673,1.26128,10.8014,1065.74,-578.802,-355.276,-13.9532,0.0619959,-0.361467,-0.000522372,-0.181673,0.668252,0.668252,1065.74,-155.443,-75.6943,3.75254,0.0267453,0.24937,-0.000108503,-0.0326084
0.168,0.557442,4.97539,1064.33,-554.846,-355.489,3.31991,0.0547267,-0.328151,0.000197256,-0.176204,0.46927,5.4157,1064.33,-554.846,-355.489,3.31991,0.0547267,-0.328151,0.000197256,-0.176204,1.02593,1.02593,1064.33,-151.926,-82.5032,3.95366,0.0261773,0.277251,-0.000106676,-0.0339894
0.174,0.481336,4.69021,1062.56,-506.876,-388.91,-0.762777,0.0542889,-0.0133963,-0.00041358,-0.0882542,0.468137,4.42701,1062.56,-506.876,-388.91,-0.762777,0.0542889,-0.0133963,-0.00041358,-0.0882542,0.935792,0.935792,1062.56,-146.822,-91.4437,4.19265,0.0253056,0.313968,-0.000106595,-0.0374248
0.18,0.660543,5.92159,1059.03,-557.42,-412.617,1.56479,0.0458728,0.322062,-0.000163311,-0.174504,0.397161,4.19725,1059.03,-557.42,-412.617,1.56479,0.0458728,0.322062,-0.000163311,-0.174504,0.95216,0.95216,1059.03,-145.876,-102.961,4.54694,0.0251039,0.356782,-0.000104278,-0.0394712
0.186,0.646451,5.83354,1056.28,-508.285,-435.609,6.16524,0.0496636,0.412696,-0.00022257,0.0768508,0.422162,4.23971,1056.28,-508.285,-435.609,6.16524,0.0496636,0.412696,-0.00022257,0.0768508,0.819472,0.819472,1056.28,-143.689,-112.614,5.1139,0.0246775,0.398172,-0.00010188,-0.0406407
0.192,0.46518,4.46154,1055.16,-492.708,-465.548,-2.20444,0.0537329,0.715539,-0.000716751,0.000501937,0.468523,4.14208,1055.16,-492.708,-465.548,-2.20444,0.0537329,0.715539,-0.000716751,0.000501937,1.16689,1.16689,1055.16,-136.54,-118.497,5.12834,0.0234626,0.428616,-0.000101893,-0.0435489
0.198,0.467899,5.09347,1052.09,-479.033,-454.467,5.89063,0.0464989,0.920103,-0.000484504,-0.184054,0.568227,4.95588,1052.09,-479.033,-454.467,5.89063,0.0464989,0.920103,-0.000484504,-0.184054,1.15978,1.15978,1052.09,-133.676,-128.682,5.31779,0.0229205,0.470927,-0.000100986,-0.0451364
0.204,0.430953,4.94764,1049.14,-425.629,-421.937,-7.63919,0.0474446,1.17378,-1.46647e-05,-0.034275,0.547578,4.72152,1049.14,-425.629,-421.937,-7.63919,0.0474446,1.17378,-1.46647e-05,-0.034275,1.06425,1.06425,1049.14,-132.465,-137.248,5.78862,0.0228026,0.511182,-9.92925e-05,-0.0470809
