vol2,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,0.063556,0.838353,1071.06,-554.569,-216.094,6.0208,0.0731623,-1.17259,3.24115e-05,-0.492866,0.093228,0.720342,1070.63,-593.387,-258.818,-8.83131,0.0734738,-1.08663,-0.000538392,-0.179703,0.178802,0.178802,1070.63,-593.589,-257.551,-8.83074,0.0751606,-1.17778,-0.000393794,-0.0231926
0.156,0.072569,0.746412,1069.24,-536.547,-212.639,-25.1996,0.0709307,-0.898663,0.000199628,-0.169946,0.099705,0.884379,1068.92,-582.508,-294.789,-9.12413,0.0715429,-0.818077,-0.000496746,-0.118776,0.170145,0.170145,1068.92,-582.384,-294.217,-9.12757,0.073013,-0.901256,-0.000388684,-0.054202
0.162,0.113139,0.854261,1067.3,-497.254,-367.215,12.7531,0.0662785,-0.80846,8.68659e-05,-0.0954646,0.095639,0.91561,1067.07,-561.05,-328.434,-5.87481,0.0680857,-0.582903,-0.000522618,-0.182537,0.164916,0.164916,1067.07,-559.927,-329.931,-5.86769,0.0684209,-0.627601,-0.000382676,-0.0805494
0.168,0.089912,0.81173,1065.46,-460.667,-448.096,45.5127,0.0644721,-0.48658,0.000160948,-0.720897,0.096158,0.971169,1065.03,-547.01,-363.975,-2.91726,0.0653807,-0.281259,-0.000482983,-0.337637,0.161871,0.161871,1065.03,-547.501,-363.39,-2.92118,0.0665065,-0.350018,-0.000387262,-0.0759587
0.174,0.073931,0.844785,1063.02,-453.261,-421.394,-25.1659,0.060786,-0.105572,0.000142639,-0.395651,0.096979,0.987844,1062.68,-527.222,-415.471,0.190157,0.062312,0.0786112,-0.000420886,-0.317755,0.179558,0.179558,1062.68,-526.587,-415.767,0.193679,0.0628314,0.029705,-0.000376757,-0.0949074
0.18,0.073937,0.581553,1060.17,-431.301,-505.172,-9.92376,0.0613757,0.430268,0.00021324,-0.258667,0.049368,0.489215,1060.07,-512.162,-455.244,1.62055,0.0600158,0.381893,-0.000414723,-0.29586,0.083404,0.083404,1060.07,-509.46,-458.166,1.56935,0.059839,0.370921,-0.00036305,-0.120344
0.186,0.042037,0.422301,1057.52,-407.767,-380.509,-29.8627,0.0566134,0.454002,0.000258641,-0.312362,0.048997,0.490146,1057.35,-495.608,-442.861,3.60738,0.0568238,0.524876,-0.000335893,-0.181018,0.083349,0.083349,1057.35,-495.642,-441.894,3.60358,0.0580365,0.456071,-0.000352427,-0.115938
0.192,0.041677,0.422145,1054.83,-398.754,-429.415,44.6391,0.0548843,0.486328,5.06544e-05,0.0100078,0.048877,0.490266,1054.72,-482.147,-435.376,5.59343,0.0550336,0.6389,-0.000382192,-0.248082,0.08343,0.08343,1054.72,-480.983,-436.205,5.60224,0.0562485,0.584011,-0.000348486,-0.11772
0.198,0.041992,0.424149,1052.45,-394.919,-452.653,-3.21479,0.0536991,0.88032,3.10587e-05,-0.786807,0.050046,0.491678,1052.05,-467.082,-463.959,6.51441,0.05293,0.911278,-0.000362556,-0.437226,0.084318,0.084318,1052.05,-467.034,-463.607,6.51177,0.0543288,0.844708,-0.000345686,-0.129962
0.204,0.043123,0.423581,1049.15,-390.572,-478.956,2.47084,0.0520986,1.234,0.000142604,-0.0545908,0.048823,0.491528,1049.1,-453.668,-511.67,9.20808,0.0511518,1.21088,-0.000344681,-0.272652,0.091558,0.091558,1049.1,-453.089,-512.526,9.19246,0.0524928,1.20441,-0.000335133,-0.141175
0.21,0.042077,0.420292,1046.22,-384.879,-498.787,5.66879,0.0517361,1.27179,-0.000166332,-0.341439,0.049088,0.494041,1046.08,-444.518,-489.283,7.21372,0.0503108,1.31393,-0.000326934,-0.214782,0.083442,0.083442,1046.08,-444.711,-488.568,7.21722,0.0520815,1.21835,-0.000327533,-0.17233
0.216,0.042179,0.420568,1043.23,-379.786,-514.2,-10.5329,0.0508223,1.45668,-0.000114704,-0.360906,0.049363,0.494764,1043.13,-434.934,-494.998,5.91248,0.0499331,1.44697,-0.00033595,-0.307284,0.083435,0.083435,1043.13,-434.619,-495.162,5.9032,0.0515611,1.39772,-0.000321312,-0.192828
0.222,0.042356,0.424128,1040.4,-340.199,-476.327,33.1327,0.0491294,1.64616,-7.43802e-05,-0.663617,0.049179,0.495914,1040.14,-421.145,-507.366,8.96234,0.0486529,1.6293,-0.00040069,-0.31664,0.083457,0.083457,1040.14,-421.131,-507.231,8.98855,0.0501629,1.59064,-0.000309797,-0.182223
0.228,0.042125,0.425048,1037.32,-319.744,-501.895,5.54609,0.0463233,1.87599,-0.000462457,-0.392562,0.049098,0.494548,1037.07,-404.859,-511.494,11.5973,0.0460258,1.80626,-0.00040671,-0.316571,0.08346,0.08346,1037.07,-406.05,-510.081,11.6089,0.0480757,1.72354,-0.000298848,-0.168927
0.234,0.042133,0.424549,1034.29,-312.475,-511.19,43.1647,0.0431249,2.03162,-0.000693244,-0.883971,0.049202,0.495446,1033.94,-385.955,-535.665,12.2274,0.0432859,2.02446,-0.00040486,-0.400464,0.083429,0.083429,1033.94,-385.998,-535.498,12.2469,0.044721,1.98414,-0.000296677,-0.203383
0.24,0.042341,0.422604,1030.94,-290.625,-520.133,-12.432,0.0416822,2.30638,-0.000452378,-0.929132,0.051203,0.502401,1030.66,-372.4,-553.316,17.4823,0.0418266,2.23952,-0.000338182,-0.368262,0.083437,0.083437,1030.66,-372.147,-553.287,17.4886,0.0429629,2.20935,-0.000284432,-0.21549
0.246,0.042276,0.424843,1027.53,-269.554,-601.981,10.7154,0.0400074,2.38931,-0.000474026,-0.758663,0.049302,0.493086,1027.31,-359.318,-565.698,19.948,0.0408548,2.40533,-0.000354127,-0.358723,0.08343,0.08343,1027.31,-357.654,-567.004,19.7122,0.0408234,2.41505,-0.000277563,-0.209258
0.252,0.042292,0.42549,1024.09,-259.385,-606.218,26.2598,0.0386456,2.4348,-0.00037914,-0.760359,0.049524,0.497473,1023.92,-351.099,-562.973,17.8766,0.0396012,2.52368,-0.000277122,-0.326876,0.083354,0.083354,1023.92,-350.729,-563.058,17.8626,0.0406351,2.52414,-0.000267047,-0.194635
0.258,0.042635,0.426923,1020.8,-254.972,-574.051,16.6766,0.0390048,2.60202,-0.000463844,-0.964889,0.04955,0.495447,1020.54,-340.508,-567.245,23.9535,0.0394746,2.67786,-0.000263827,-0.431905,0.083384,0.083384,1020.54,-340.105,-567.096,23.9501,0.0399144,2.67472,-0.000259573,-0.180824
0.264,0.042448,0.426903,1017.38,-252.182,-622.153,26.2493,0.0405837,2.83749,-0.000502385,-1.03553,0.04969,0.49664,1017.07,-336.372,-592.163,29.1201,0.0402469,2.89391,-0.000189105,-0.443957,0.085977,0.085977,1017.07,-336.164,-592.21,29.1525,0.0411903,2.93913,-0.000257774,-0.16231
